# GREAT Version 5.03
# Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension
# Significance tests required to pass thresholds: both
# Raw P-val tolerated: 5.000000e-02
# Annotation count range: [1, -1]
# DAG level range: [1, -1]
# Tests performed: 5215
# ID	Desc	DAGLvl	BRank	BPval	BBonf	BFDR	BFold	BExp	Bn	Bk	BProb	RegionSetCov	HRank	HPval	HBonf	HFDR	HFold	HExp	HN	HK	Hn	Hk	GeneSetCov	TermGeneCov	Genes	Regions
GO:0009987	cellular process	2	1	7.905145e-218	4.122533e-214	4.122533e-214	5.089472e+01	3.143744e+00	556	160	5.654216e-03	2.877698e-01	80	2.232155e-02	1.000000e+00	1.000000e+00	1.101945e+00	1.470128e+02	17217	10910	232	162	6.982759e-01	1.484876e-02	AARSD1,ACO2,ACTB,ACTG1,AP4B1,ARHGAP1,ARID3B,AURKA,B4GALT1,B9D2,BANF1,BTBD1,BTRC,C11orf73,C14orf1,CAMTA2,CAPZB,CBX7,CCDC101,CCDC88A,CCNB1IP1,CCT2,CDC25C,CLTA,CNN2,COG3,COX6A1,CSNK2B,CSTF1,DCLRE1B,DDX51,DENND1A,DET1,DNAH7,DNM2,DPH1,DUSP2,DUSP5,EEF1B2,EGR1,EGR2,EGR3,EGR4,EIF1AD,EIF2B2,EIF3H,EIF4G2,EIF6,ELK1,ELL2,FDFT1,FHL2,FOS,FOSL1,FOSL2,GADD45G,GCAT,GIN1,GINS3,GRK6,HDAC3,HDGF,HERPUD1,HMX3,HOMER1,ING4,IQGAP1,IRF3,ISG15,JMJD1A,JUNB,KAT5,KATNB1,KCNH2,KCNMB1,KLF7,KLHL21,MAP3K14,MAPKBP1,MCL1,MED9,MORC3,MRPS15,MTCH1,MTMR15,MTTP,MUL1,NDUFA5,NDUFS1,NR2F2,NR2F6,NR4A1,NR4A2,NR4A3,OFD1,ORC1L,OSBPL2,PARN,PDCL3,PEX14,PFN1,PHF5A,PLOD1,POLD1,PPIL4,PRPF38A,PSMA1,PSMD3,PTMS,PURB,RAB11A,RAB11B,RAPGEF6,RER1,RFC4,RIF1,RPL10,RPL22,RPL24,RPL38,RPS27,RPS6KA1,RSF1,RSU1,SF3B14,SND1,SNRPB2,SNX12,SRF,SRRM1,STK16,STX4,SYNJ2,TADA3L,TAGAP,TCF7,TEX2,TLE3,TLE4,TMED1,TMED10,TOPBP1,TPM4,TRAPPC2,TRUB1,TTLL5,TXNDC17,UBE2D3,UBE2T,UPF2,VAMP4,VGF,VPS72,WNT6,YARS,YIPF5,ZC3H15,ZNF252,ZNF408,ZNF644,ZNF76,ZYX	SRF.10,SRF.104,SRF.105,SRF.11,SRF.110,SRF.116,SRF.117,SRF.118,SRF.127,SRF.128,SRF.13,SRF.132,SRF.136,SRF.137,SRF.139,SRF.142,SRF.146,SRF.152,SRF.155,SRF.156,SRF.161,SRF.172,SRF.176,SRF.187,SRF.188,SRF.191,SRF.192,SRF.193,SRF.2,SRF.20,SRF.204,SRF.207,SRF.209,SRF.21,SRF.210,SRF.216,SRF.218,SRF.219,SRF.220,SRF.232,SRF.236,SRF.243,SRF.247,SRF.25,SRF.252,SRF.255,SRF.258,SRF.26,SRF.262,SRF.268,SRF.273,SRF.274,SRF.278,SRF.279,SRF.28,SRF.287,SRF.297,SRF.298,SRF.3,SRF.300,SRF.302,SRF.306,SRF.308,SRF.309,SRF.31,SRF.310,SRF.312,SRF.313,SRF.316,SRF.317,SRF.319,SRF.32,SRF.321,SRF.324,SRF.330,SRF.331,SRF.332,SRF.337,SRF.338,SRF.340,SRF.345,SRF.35,SRF.355,SRF.356,SRF.357,SRF.358,SRF.359,SRF.36,SRF.361,SRF.363,SRF.365,SRF.368,SRF.369,SRF.37,SRF.372,SRF.375,SRF.378,SRF.382,SRF.388,SRF.39,SRF.391,SRF.393,SRF.395,SRF.398,SRF.4,SRF.400,SRF.407,SRF.416,SRF.42,SRF.425,SRF.426,SRF.428,SRF.43,SRF.431,SRF.436,SRF.44,SRF.447,SRF.450,SRF.453,SRF.457,SRF.458,SRF.459,SRF.461,SRF.465,SRF.470,SRF.485,SRF.487,SRF.49,SRF.493,SRF.499,SRF.50,SRF.505,SRF.514,SRF.518,SRF.52,SRF.523,SRF.526,SRF.53,SRF.536,SRF.537,SRF.54,SRF.541,SRF.543,SRF.548,SRF.55,SRF.554,SRF.556,SRF.6,SRF.63,SRF.64,SRF.65,SRF.68,SRF.73,SRF.77,SRF.80,SRF.82,SRF.84,SRF.85,SRF.87,SRF.97
GO:0008152	metabolic process	2	2	9.256182e-166	4.827099e-162	2.413550e-162	6.362406e+01	1.807492e+00	556	115	3.250885e-03	2.068345e-01	21	2.141552e-04	1.000000e+00	5.318188e-02	1.294063e+00	9.118569e+01	17217	6767	232	118	5.086207e-01	1.743756e-02	AARSD1,ACO2,ARID3B,AURKA,B4GALT1,BANF1,BTBD1,BTRC,C14orf1,CAMTA2,CBX7,CCDC101,CCNB1IP1,CCT2,CDC25C,COG3,COX6A1,CSRP2BP,CSTF1,DCLRE1B,DDX51,DET1,DPH1,DUSP2,DUSP5,EEF1B2,EGR3,EGR4,EIF1AD,EIF2B2,EIF3H,EIF4G2,EIF6,ELK1,ELL2,FDFT1,FHL2,FLJ22222,FOS,GADD45G,GCAT,GIN1,GINS3,GLB1L,GRK6,GSTP1,HDAC3,HDGF,HERPUD1,HEXDC,HMX3,ING4,IRF3,ISG15,JMJD1A,KAT5,KIAA0152,KIAA0859,KLF7,KLHL21,MAP3K14,MAPKBP1,MED9,MORC3,MRPS15,MTMR15,MTTP,MUL1,NDUFA5,NDUFS1,NR2F2,NR2F6,NR4A2,NR4A3,ORC1L,OSBPL2,PARN,PHF5A,PLOD1,POLD1,PPIL4,PRPF38A,PSMA1,PSMD3,PTER,PTMS,PURB,RFC4,RPL10,RPL22,RPL24,RPL38,RPS27,RPS6KA1,RSF1,SF3B14,SND1,SNRPB2,SRF,SRRM1,STK16,SYNJ2,TADA3L,TCF7,TEX2,TOPBP1,TRAPPC2,TRUB1,TTLL5,UBE2D3,UBE2T,UPF2,VGF,YARS,ZNF252,ZNF408,ZNF644,ZNF76	SRF.10,SRF.104,SRF.110,SRF.117,SRF.128,SRF.13,SRF.137,SRF.139,SRF.146,SRF.155,SRF.156,SRF.166,SRF.176,SRF.187,SRF.188,SRF.191,SRF.20,SRF.204,SRF.207,SRF.209,SRF.210,SRF.216,SRF.218,SRF.219,SRF.220,SRF.231,SRF.236,SRF.243,SRF.247,SRF.255,SRF.258,SRF.261,SRF.262,SRF.268,SRF.273,SRF.274,SRF.278,SRF.279,SRF.28,SRF.297,SRF.298,SRF.302,SRF.306,SRF.308,SRF.309,SRF.31,SRF.312,SRF.313,SRF.317,SRF.32,SRF.324,SRF.330,SRF.331,SRF.337,SRF.338,SRF.35,SRF.356,SRF.357,SRF.358,SRF.36,SRF.361,SRF.363,SRF.365,SRF.368,SRF.369,SRF.37,SRF.372,SRF.375,SRF.382,SRF.388,SRF.39,SRF.391,SRF.393,SRF.395,SRF.398,SRF.419,SRF.42,SRF.425,SRF.431,SRF.447,SRF.450,SRF.453,SRF.458,SRF.459,SRF.461,SRF.465,SRF.470,SRF.485,SRF.487,SRF.49,SRF.493,SRF.498,SRF.499,SRF.50,SRF.505,SRF.514,SRF.518,SRF.523,SRF.526,SRF.53,SRF.537,SRF.54,SRF.543,SRF.548,SRF.55,SRF.554,SRF.6,SRF.63,SRF.65,SRF.68,SRF.73,SRF.77,SRF.80,SRF.88,SRF.97
GO:0044237	cellular metabolic process	3	3	4.623773e-157	2.411298e-153	8.037659e-154	6.381063e+01	1.708179e+00	556	109	3.072265e-03	1.960432e-01	22	2.636795e-04	1.000000e+00	6.250402e-02	1.310942e+00	8.390916e+01	17217	6227	232	110	4.741379e-01	1.766501e-02	AARSD1,ACO2,ARID3B,AURKA,B4GALT1,BANF1,BTBD1,BTRC,C14orf1,CAMTA2,CBX7,CCDC101,CCNB1IP1,CCT2,CDC25C,COG3,COX6A1,CSTF1,DCLRE1B,DDX51,DET1,DPH1,DUSP2,DUSP5,EEF1B2,EGR3,EGR4,EIF1AD,EIF2B2,EIF3H,EIF4G2,EIF6,ELK1,ELL2,FDFT1,FHL2,FOS,GADD45G,GCAT,GIN1,GINS3,GRK6,HDAC3,HDGF,HERPUD1,HMX3,ING4,IRF3,ISG15,JMJD1A,KAT5,KLF7,KLHL21,MAP3K14,MAPKBP1,MED9,MORC3,MRPS15,MTMR15,MTTP,MUL1,NDUFA5,NDUFS1,NR2F2,NR2F6,NR4A2,NR4A3,ORC1L,OSBPL2,PARN,PHF5A,PLOD1,POLD1,PPIL4,PRPF38A,PSMA1,PSMD3,PTMS,PURB,RFC4,RPL10,RPL22,RPL24,RPL38,RPS27,RPS6KA1,RSF1,SF3B14,SND1,SNRPB2,SRF,SRRM1,STK16,SYNJ2,TADA3L,TCF7,TEX2,TOPBP1,TRAPPC2,TRUB1,TTLL5,UBE2D3,UBE2T,UPF2,VGF,YARS,ZNF252,ZNF408,ZNF644,ZNF76	SRF.10,SRF.104,SRF.110,SRF.117,SRF.128,SRF.13,SRF.137,SRF.139,SRF.146,SRF.155,SRF.156,SRF.176,SRF.187,SRF.188,SRF.191,SRF.20,SRF.204,SRF.207,SRF.209,SRF.210,SRF.216,SRF.218,SRF.219,SRF.220,SRF.236,SRF.243,SRF.247,SRF.255,SRF.258,SRF.262,SRF.268,SRF.273,SRF.274,SRF.278,SRF.279,SRF.28,SRF.297,SRF.298,SRF.302,SRF.306,SRF.308,SRF.309,SRF.31,SRF.312,SRF.313,SRF.317,SRF.32,SRF.324,SRF.330,SRF.331,SRF.337,SRF.338,SRF.35,SRF.356,SRF.357,SRF.358,SRF.36,SRF.361,SRF.363,SRF.365,SRF.368,SRF.369,SRF.37,SRF.372,SRF.375,SRF.382,SRF.388,SRF.39,SRF.391,SRF.393,SRF.395,SRF.398,SRF.42,SRF.425,SRF.431,SRF.447,SRF.450,SRF.453,SRF.458,SRF.459,SRF.461,SRF.465,SRF.470,SRF.485,SRF.487,SRF.49,SRF.493,SRF.499,SRF.50,SRF.505,SRF.514,SRF.518,SRF.523,SRF.526,SRF.53,SRF.537,SRF.54,SRF.543,SRF.548,SRF.55,SRF.554,SRF.6,SRF.63,SRF.65,SRF.68,SRF.73,SRF.77,SRF.80,SRF.97
GO:0044238	primary metabolic process	3	4	4.059821e-152	2.117196e-148	5.292991e-149	6.306453e+01	1.680818e+00	556	106	3.023054e-03	1.906475e-01	23	3.753392e-04	1.000000e+00	8.510409e-02	1.309034e+00	8.173968e+01	17217	6066	232	107	4.612069e-01	1.763930e-02	AARSD1,ARID3B,AURKA,B4GALT1,BANF1,BTBD1,BTRC,C14orf1,CAMTA2,CBX7,CCDC101,CCNB1IP1,CCT2,CDC25C,COG3,CSTF1,DCLRE1B,DDX51,DET1,DPH1,DUSP2,DUSP5,EEF1B2,EGR3,EGR4,EIF1AD,EIF3H,EIF4G2,EIF6,ELK1,ELL2,FDFT1,FHL2,FOS,GADD45G,GCAT,GIN1,GINS3,GLB1L,GRK6,HDAC3,HDGF,HERPUD1,HEXDC,HMX3,ING4,IRF3,ISG15,JMJD1A,KAT5,KIAA0152,KLF7,KLHL21,MAP3K14,MAPKBP1,MED9,MORC3,MRPS15,MTMR15,MTTP,MUL1,NDUFS1,NR2F2,NR2F6,NR4A2,NR4A3,ORC1L,OSBPL2,PARN,PHF5A,PLOD1,POLD1,PPIL4,PRPF38A,PSMA1,PSMD3,PTMS,PURB,RFC4,RPL10,RPL22,RPL24,RPL38,RPS27,RPS6KA1,RSF1,SF3B14,SND1,SNRPB2,SRF,SRRM1,STK16,TADA3L,TCF7,TEX2,TOPBP1,TRAPPC2,TRUB1,TTLL5,UBE2D3,UBE2T,UPF2,YARS,ZNF252,ZNF408,ZNF644,ZNF76	SRF.10,SRF.104,SRF.110,SRF.117,SRF.128,SRF.13,SRF.137,SRF.139,SRF.146,SRF.155,SRF.156,SRF.176,SRF.187,SRF.188,SRF.191,SRF.20,SRF.204,SRF.207,SRF.209,SRF.210,SRF.216,SRF.218,SRF.219,SRF.220,SRF.236,SRF.243,SRF.247,SRF.255,SRF.258,SRF.261,SRF.262,SRF.268,SRF.273,SRF.274,SRF.278,SRF.279,SRF.28,SRF.298,SRF.302,SRF.306,SRF.308,SRF.309,SRF.31,SRF.312,SRF.313,SRF.317,SRF.32,SRF.324,SRF.330,SRF.331,SRF.337,SRF.35,SRF.356,SRF.357,SRF.358,SRF.36,SRF.361,SRF.363,SRF.365,SRF.368,SRF.369,SRF.37,SRF.372,SRF.375,SRF.382,SRF.388,SRF.39,SRF.391,SRF.393,SRF.395,SRF.398,SRF.419,SRF.42,SRF.425,SRF.431,SRF.447,SRF.450,SRF.453,SRF.458,SRF.459,SRF.461,SRF.465,SRF.470,SRF.485,SRF.49,SRF.493,SRF.499,SRF.50,SRF.505,SRF.518,SRF.523,SRF.526,SRF.53,SRF.537,SRF.54,SRF.543,SRF.548,SRF.55,SRF.554,SRF.6,SRF.63,SRF.65,SRF.68,SRF.77,SRF.80,SRF.97
GO:0034960	cellular biopolymer metabolic process	5	5	1.966061e-148	1.025301e-144	2.050601e-145	7.098842e+01	1.408680e+00	556	100	2.533598e-03	1.798561e-01	1	1.772452e-06	9.243337e-03	9.243337e-03	1.511995e+00	6.481501e+01	17217	4810	232	98	4.224138e-01	2.037422e-02	AARSD1,ARID3B,AURKA,B4GALT1,BANF1,BTBD1,BTRC,CAMTA2,CBX7,CCDC101,CCNB1IP1,CCT2,CDC25C,COG3,CSTF1,DCLRE1B,DDX51,DET1,DPH1,DUSP2,DUSP5,EEF1B2,EGR3,EGR4,EIF1AD,EIF3H,EIF4G2,EIF6,ELK1,ELL2,FHL2,FOS,GADD45G,GIN1,GINS3,GRK6,HDAC3,HDGF,HERPUD1,HMX3,ING4,IRF3,ISG15,JMJD1A,KAT5,KLF7,KLHL21,MAP3K14,MAPKBP1,MED9,MORC3,MRPS15,MTMR15,MTTP,MUL1,NR2F2,NR2F6,NR4A2,NR4A3,ORC1L,PARN,PHF5A,PLOD1,POLD1,PPIL4,PRPF38A,PSMA1,PSMD3,PTMS,PURB,RFC4,RPL10,RPL22,RPL24,RPL38,RPS27,RPS6KA1,RSF1,SF3B14,SND1,SNRPB2,SRF,SRRM1,STK16,TADA3L,TCF7,TOPBP1,TRAPPC2,TRUB1,TTLL5,UBE2D3,UBE2T,UPF2,YARS,ZNF252,ZNF408,ZNF644,ZNF76	SRF.10,SRF.104,SRF.110,SRF.117,SRF.128,SRF.13,SRF.137,SRF.139,SRF.146,SRF.155,SRF.156,SRF.176,SRF.187,SRF.188,SRF.191,SRF.20,SRF.204,SRF.207,SRF.209,SRF.210,SRF.216,SRF.218,SRF.219,SRF.236,SRF.243,SRF.247,SRF.255,SRF.258,SRF.268,SRF.273,SRF.278,SRF.279,SRF.28,SRF.298,SRF.302,SRF.306,SRF.308,SRF.309,SRF.31,SRF.312,SRF.313,SRF.317,SRF.32,SRF.324,SRF.330,SRF.331,SRF.337,SRF.35,SRF.356,SRF.357,SRF.358,SRF.36,SRF.361,SRF.363,SRF.365,SRF.368,SRF.369,SRF.37,SRF.372,SRF.382,SRF.388,SRF.39,SRF.391,SRF.393,SRF.395,SRF.398,SRF.42,SRF.425,SRF.431,SRF.447,SRF.450,SRF.453,SRF.458,SRF.459,SRF.461,SRF.465,SRF.470,SRF.485,SRF.49,SRF.493,SRF.499,SRF.50,SRF.505,SRF.518,SRF.523,SRF.526,SRF.53,SRF.537,SRF.54,SRF.543,SRF.548,SRF.55,SRF.554,SRF.6,SRF.63,SRF.65,SRF.68,SRF.77,SRF.80,SRF.97
GO:0043283	biopolymer metabolic process	4	6	2.778995e-148	1.449246e-144	2.415410e-145	7.074034e+01	1.413621e+00	556	100	2.542483e-03	1.798561e-01	2	2.365095e-06	1.233397e-02	6.166985e-03	1.502934e+00	6.520578e+01	17217	4839	232	98	4.224138e-01	2.025212e-02	AARSD1,ARID3B,AURKA,B4GALT1,BANF1,BTBD1,BTRC,CAMTA2,CBX7,CCDC101,CCNB1IP1,CCT2,CDC25C,COG3,CSTF1,DCLRE1B,DDX51,DET1,DPH1,DUSP2,DUSP5,EEF1B2,EGR3,EGR4,EIF1AD,EIF3H,EIF4G2,EIF6,ELK1,ELL2,FHL2,FOS,GADD45G,GIN1,GINS3,GRK6,HDAC3,HDGF,HERPUD1,HMX3,ING4,IRF3,ISG15,JMJD1A,KAT5,KLF7,KLHL21,MAP3K14,MAPKBP1,MED9,MORC3,MRPS15,MTMR15,MTTP,MUL1,NR2F2,NR2F6,NR4A2,NR4A3,ORC1L,PARN,PHF5A,PLOD1,POLD1,PPIL4,PRPF38A,PSMA1,PSMD3,PTMS,PURB,RFC4,RPL10,RPL22,RPL24,RPL38,RPS27,RPS6KA1,RSF1,SF3B14,SND1,SNRPB2,SRF,SRRM1,STK16,TADA3L,TCF7,TOPBP1,TRAPPC2,TRUB1,TTLL5,UBE2D3,UBE2T,UPF2,YARS,ZNF252,ZNF408,ZNF644,ZNF76	SRF.10,SRF.104,SRF.110,SRF.117,SRF.128,SRF.13,SRF.137,SRF.139,SRF.146,SRF.155,SRF.156,SRF.176,SRF.187,SRF.188,SRF.191,SRF.20,SRF.204,SRF.207,SRF.209,SRF.210,SRF.216,SRF.218,SRF.219,SRF.236,SRF.243,SRF.247,SRF.255,SRF.258,SRF.268,SRF.273,SRF.278,SRF.279,SRF.28,SRF.298,SRF.302,SRF.306,SRF.308,SRF.309,SRF.31,SRF.312,SRF.313,SRF.317,SRF.32,SRF.324,SRF.330,SRF.331,SRF.337,SRF.35,SRF.356,SRF.357,SRF.358,SRF.36,SRF.361,SRF.363,SRF.365,SRF.368,SRF.369,SRF.37,SRF.372,SRF.382,SRF.388,SRF.39,SRF.391,SRF.393,SRF.395,SRF.398,SRF.42,SRF.425,SRF.431,SRF.447,SRF.450,SRF.453,SRF.458,SRF.459,SRF.461,SRF.465,SRF.470,SRF.485,SRF.49,SRF.493,SRF.499,SRF.50,SRF.505,SRF.518,SRF.523,SRF.526,SRF.53,SRF.537,SRF.54,SRF.543,SRF.548,SRF.55,SRF.554,SRF.6,SRF.63,SRF.65,SRF.68,SRF.77,SRF.80,SRF.97
GO:0044260	cellular macromolecule metabolic process	4	7	1.006898e-147	5.250973e-144	7.501391e-145	6.982495e+01	1.432153e+00	556	100	2.575814e-03	1.798561e-01	4	4.320560e-06	2.253172e-02	5.632930e-03	1.483921e+00	6.604124e+01	17217	4901	232	98	4.224138e-01	1.999592e-02	AARSD1,ARID3B,AURKA,B4GALT1,BANF1,BTBD1,BTRC,CAMTA2,CBX7,CCDC101,CCNB1IP1,CCT2,CDC25C,COG3,CSTF1,DCLRE1B,DDX51,DET1,DPH1,DUSP2,DUSP5,EEF1B2,EGR3,EGR4,EIF1AD,EIF3H,EIF4G2,EIF6,ELK1,ELL2,FHL2,FOS,GADD45G,GIN1,GINS3,GRK6,HDAC3,HDGF,HERPUD1,HMX3,ING4,IRF3,ISG15,JMJD1A,KAT5,KLF7,KLHL21,MAP3K14,MAPKBP1,MED9,MORC3,MRPS15,MTMR15,MTTP,MUL1,NR2F2,NR2F6,NR4A2,NR4A3,ORC1L,PARN,PHF5A,PLOD1,POLD1,PPIL4,PRPF38A,PSMA1,PSMD3,PTMS,PURB,RFC4,RPL10,RPL22,RPL24,RPL38,RPS27,RPS6KA1,RSF1,SF3B14,SND1,SNRPB2,SRF,SRRM1,STK16,TADA3L,TCF7,TOPBP1,TRAPPC2,TRUB1,TTLL5,UBE2D3,UBE2T,UPF2,YARS,ZNF252,ZNF408,ZNF644,ZNF76	SRF.10,SRF.104,SRF.110,SRF.117,SRF.128,SRF.13,SRF.137,SRF.139,SRF.146,SRF.155,SRF.156,SRF.176,SRF.187,SRF.188,SRF.191,SRF.20,SRF.204,SRF.207,SRF.209,SRF.210,SRF.216,SRF.218,SRF.219,SRF.236,SRF.243,SRF.247,SRF.255,SRF.258,SRF.268,SRF.273,SRF.278,SRF.279,SRF.28,SRF.298,SRF.302,SRF.306,SRF.308,SRF.309,SRF.31,SRF.312,SRF.313,SRF.317,SRF.32,SRF.324,SRF.330,SRF.331,SRF.337,SRF.35,SRF.356,SRF.357,SRF.358,SRF.36,SRF.361,SRF.363,SRF.365,SRF.368,SRF.369,SRF.37,SRF.372,SRF.382,SRF.388,SRF.39,SRF.391,SRF.393,SRF.395,SRF.398,SRF.42,SRF.425,SRF.431,SRF.447,SRF.450,SRF.453,SRF.458,SRF.459,SRF.461,SRF.465,SRF.470,SRF.485,SRF.49,SRF.493,SRF.499,SRF.50,SRF.505,SRF.518,SRF.523,SRF.526,SRF.53,SRF.537,SRF.54,SRF.543,SRF.548,SRF.55,SRF.554,SRF.6,SRF.63,SRF.65,SRF.68,SRF.77,SRF.80,SRF.97
GO:0043170	macromolecule metabolic process	3	8	2.147693e-147	1.120022e-143	1.400027e-144	6.929180e+01	1.443172e+00	556	100	2.595634e-03	1.798561e-01	7	6.673883e-06	3.480430e-02	4.972043e-03	1.470123e+00	6.666109e+01	17217	4947	232	98	4.224138e-01	1.980999e-02	AARSD1,ARID3B,AURKA,B4GALT1,BANF1,BTBD1,BTRC,CAMTA2,CBX7,CCDC101,CCNB1IP1,CCT2,CDC25C,COG3,CSTF1,DCLRE1B,DDX51,DET1,DPH1,DUSP2,DUSP5,EEF1B2,EGR3,EGR4,EIF1AD,EIF3H,EIF4G2,EIF6,ELK1,ELL2,FHL2,FOS,GADD45G,GIN1,GINS3,GRK6,HDAC3,HDGF,HERPUD1,HMX3,ING4,IRF3,ISG15,JMJD1A,KAT5,KLF7,KLHL21,MAP3K14,MAPKBP1,MED9,MORC3,MRPS15,MTMR15,MTTP,MUL1,NR2F2,NR2F6,NR4A2,NR4A3,ORC1L,PARN,PHF5A,PLOD1,POLD1,PPIL4,PRPF38A,PSMA1,PSMD3,PTMS,PURB,RFC4,RPL10,RPL22,RPL24,RPL38,RPS27,RPS6KA1,RSF1,SF3B14,SND1,SNRPB2,SRF,SRRM1,STK16,TADA3L,TCF7,TOPBP1,TRAPPC2,TRUB1,TTLL5,UBE2D3,UBE2T,UPF2,YARS,ZNF252,ZNF408,ZNF644,ZNF76	SRF.10,SRF.104,SRF.110,SRF.117,SRF.128,SRF.13,SRF.137,SRF.139,SRF.146,SRF.155,SRF.156,SRF.176,SRF.187,SRF.188,SRF.191,SRF.20,SRF.204,SRF.207,SRF.209,SRF.210,SRF.216,SRF.218,SRF.219,SRF.236,SRF.243,SRF.247,SRF.255,SRF.258,SRF.268,SRF.273,SRF.278,SRF.279,SRF.28,SRF.298,SRF.302,SRF.306,SRF.308,SRF.309,SRF.31,SRF.312,SRF.313,SRF.317,SRF.32,SRF.324,SRF.330,SRF.331,SRF.337,SRF.35,SRF.356,SRF.357,SRF.358,SRF.36,SRF.361,SRF.363,SRF.365,SRF.368,SRF.369,SRF.37,SRF.372,SRF.382,SRF.388,SRF.39,SRF.391,SRF.393,SRF.395,SRF.398,SRF.42,SRF.425,SRF.431,SRF.447,SRF.450,SRF.453,SRF.458,SRF.459,SRF.461,SRF.465,SRF.470,SRF.485,SRF.49,SRF.493,SRF.499,SRF.50,SRF.505,SRF.518,SRF.523,SRF.526,SRF.53,SRF.537,SRF.54,SRF.543,SRF.548,SRF.55,SRF.554,SRF.6,SRF.63,SRF.65,SRF.68,SRF.77,SRF.80,SRF.97
GO:0060255	regulation of macromolecule metabolic process	5	12	4.152543e-100	2.165551e-96	1.804626e-97	6.325220e+01	1.106681e+00	556	70	1.990433e-03	1.258993e-01	9	3.739989e-05	1.950404e-01	2.167116e-02	1.626193e+00	3.874078e+01	17217	2875	232	63	2.715517e-01	2.191304e-02	ARID3B,AURKA,CAMTA2,CAPZB,CBX7,CCDC101,COG3,DNM2,EBF3,EGR1,EGR2,EGR3,EGR4,EIF2B2,EIF3H,EIF4G2,ELK1,ELL2,FHL2,FOS,FOSB,FOSL1,FOSL2,HDAC3,HDGF,HMX3,ING1,ING4,IRF3,JMJD1A,JUNB,KAT5,KATNB1,KCNH2,KLF7,MED9,MEIS1,MORC3,NR2F2,NR2F6,NR4A1,NR4A2,NR4A3,PEX14,PFN1,PSMD3,PURB,RSF1,SND1,SRF,TADA3L,TCF7,TLE3,TLE4,TRAPPC2,UBE2D3,UBE2T,VPS72,ZNF252,ZNF408,ZNF644,ZNF76,ZNHIT3	SRF.10,SRF.11,SRF.117,SRF.118,SRF.13,SRF.139,SRF.172,SRF.176,SRF.192,SRF.2,SRF.20,SRF.204,SRF.21,SRF.214,SRF.219,SRF.232,SRF.236,SRF.247,SRF.25,SRF.255,SRF.258,SRF.278,SRF.279,SRF.3,SRF.302,SRF.306,SRF.313,SRF.324,SRF.337,SRF.340,SRF.35,SRF.356,SRF.357,SRF.359,SRF.36,SRF.361,SRF.365,SRF.368,SRF.37,SRF.372,SRF.382,SRF.39,SRF.395,SRF.40,SRF.42,SRF.428,SRF.438,SRF.446,SRF.450,SRF.457,SRF.459,SRF.465,SRF.49,SRF.493,SRF.50,SRF.505,SRF.52,SRF.526,SRF.53,SRF.54,SRF.541,SRF.543,SRF.548,SRF.55,SRF.64,SRF.68,SRF.73,SRF.80,SRF.84,SRF.99
GO:0019222	regulation of metabolic process	4	13	5.345298e-99	2.787573e-95	2.144287e-96	6.095367e+01	1.148413e+00	556	70	2.065491e-03	1.258993e-01	16	1.596276e-04	8.324580e-01	5.202862e-02	1.549141e+00	4.066771e+01	17217	3018	232	63	2.715517e-01	2.087475e-02	ARID3B,AURKA,CAMTA2,CAPZB,CBX7,CCDC101,COG3,DNM2,EBF3,EGR1,EGR2,EGR3,EGR4,EIF2B2,EIF3H,EIF4G2,ELK1,ELL2,FHL2,FOS,FOSB,FOSL1,FOSL2,HDAC3,HDGF,HMX3,ING1,ING4,IRF3,JMJD1A,JUNB,KAT5,KATNB1,KCNH2,KLF7,MED9,MEIS1,MORC3,NR2F2,NR2F6,NR4A1,NR4A2,NR4A3,PEX14,PFN1,PSMD3,PURB,RSF1,SND1,SRF,TADA3L,TCF7,TLE3,TLE4,TRAPPC2,UBE2D3,UBE2T,VPS72,ZNF252,ZNF408,ZNF644,ZNF76,ZNHIT3	SRF.10,SRF.11,SRF.117,SRF.118,SRF.13,SRF.139,SRF.172,SRF.176,SRF.192,SRF.2,SRF.20,SRF.204,SRF.21,SRF.214,SRF.219,SRF.232,SRF.236,SRF.247,SRF.25,SRF.255,SRF.258,SRF.278,SRF.279,SRF.3,SRF.302,SRF.306,SRF.313,SRF.324,SRF.337,SRF.340,SRF.35,SRF.356,SRF.357,SRF.359,SRF.36,SRF.361,SRF.365,SRF.368,SRF.37,SRF.372,SRF.382,SRF.39,SRF.395,SRF.40,SRF.42,SRF.428,SRF.438,SRF.446,SRF.450,SRF.457,SRF.459,SRF.465,SRF.49,SRF.493,SRF.50,SRF.505,SRF.52,SRF.526,SRF.53,SRF.54,SRF.541,SRF.543,SRF.548,SRF.55,SRF.64,SRF.68,SRF.73,SRF.80,SRF.84,SRF.99
