# GREAT Version 5.03
# Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension
# Significance tests required to pass thresholds: both
# Raw P-val tolerated: 5.000000e-02
# Annotation count range: [1, -1]
# DAG level range: [1, -1]
# Tests performed: 2800
# ID	Desc	DAGLvl	BRank	BPval	BBonf	BFDR	BFold	BExp	Bn	Bk	BProb	RegionSetCov	HRank	HPval	HBonf	HFDR	HFold	HExp	HN	HK	Hn	Hk	GeneSetCov	TermGeneCov	Genes	Regions
GO:0005515	protein binding	3	2	2.721924e-160	7.621388e-157	3.810694e-157	5.089513e+01	2.338141e+00	556	119	4.205290e-03	2.140288e-01	12	3.504499e-03	1.000000e+00	8.177165e-01	1.211404e+00	9.823314e+01	17217	7290	232	119	5.129310e-01	1.632373e-02	ACTB,ACTG1,AP4B1,ARHGAP1,AURKA,B4GALT1,BTBD1,BTRC,CAMTA2,CAPZB,CCDC88A,CCNB1IP1,CCT2,CDC25C,CLTA,CNN2,COPS4,CSNK2B,CSRP2BP,CSTF1,DENND1A,DHDDS,DNM2,DUSP2,EBF3,EEF1B2,EGR2,EIF2B2,EIF3H,EIF4G2,EIF6,ELK1,FDFT1,FHL2,FOS,FOSB,FOSL1,FOSL2,GADD45G,GSTP1,HDAC3,HDGF,HERPUD1,HOMER1,ING1,ING4,IQGAP1,IRF3,JMJD1A,JUNB,KAT5,KATNB1,KIAA0528,KLF7,KLHL21,LOC93349,MAP3K14,MAPKBP1,MCL1,MED9,MOSPD3,MRCL3,MTCH1,MUL1,NDUFS1,NOC4L,NR2F2,NR4A1,ORC1L,PARN,PDCL3,PEX14,PFN1,PLOD1,POLD1,PPP1R11,PSMA1,PSMD3,PURB,RAB11A,RAB11FIP1,RAPGEF6,RFC4,RPL24,RPL38,RPS6KA1,RSF1,RSU1,S100PBP,SF3B14,SND1,SNRPB2,SNX12,SPAG7,SRF,SRRM1,STK16,STX4,SYNJ2,TADA3L,TCF7,TLE3,TMED1,TMED10,TOPBP1,TPM4,TRAPPC2,TXNDC17,UBE2D3,UPF2,VGF,WAC,WBP1,WDR1,WNT6,YARS,ZNF408,ZNHIT3,ZYX	SRF.104,SRF.11,SRF.118,SRF.121,SRF.128,SRF.13,SRF.136,SRF.137,SRF.139,SRF.142,SRF.146,SRF.152,SRF.155,SRF.156,SRF.158,SRF.161,SRF.166,SRF.172,SRF.174,SRF.187,SRF.188,SRF.191,SRF.192,SRF.193,SRF.207,SRF.21,SRF.214,SRF.216,SRF.218,SRF.219,SRF.231,SRF.232,SRF.236,SRF.243,SRF.247,SRF.25,SRF.250,SRF.252,SRF.26,SRF.274,SRF.278,SRF.279,SRF.287,SRF.297,SRF.298,SRF.306,SRF.308,SRF.309,SRF.31,SRF.310,SRF.316,SRF.317,SRF.321,SRF.337,SRF.338,SRF.345,SRF.35,SRF.36,SRF.361,SRF.363,SRF.365,SRF.367,SRF.368,SRF.37,SRF.372,SRF.378,SRF.388,SRF.39,SRF.391,SRF.393,SRF.4,SRF.40,SRF.407,SRF.416,SRF.42,SRF.425,SRF.428,SRF.43,SRF.436,SRF.438,SRF.44,SRF.45,SRF.454,SRF.458,SRF.459,SRF.465,SRF.470,SRF.471,SRF.478,SRF.485,SRF.49,SRF.490,SRF.493,SRF.50,SRF.505,SRF.506,SRF.518,SRF.52,SRF.523,SRF.526,SRF.53,SRF.536,SRF.54,SRF.541,SRF.543,SRF.554,SRF.6,SRF.62,SRF.63,SRF.64,SRF.65,SRF.68,SRF.73,SRF.82,SRF.84,SRF.85,SRF.87,SRF.97,SRF.99
GO:0003676	nucleic acid binding	3	3	9.234215e-109	2.585580e-105	8.618601e-106	6.933825e+01	1.067232e+00	556	74	1.919482e-03	1.330935e-01	1	9.886426e-06	2.768199e-02	2.768199e-02	1.649138e+00	4.123366e+01	17217	3060	232	68	2.931034e-01	2.222222e-02	AARSD1,ARID3B,BANF1,CSTF1,DDX18,DDX51,EBF3,EEF1B2,EGR1,EGR2,EGR3,EGR4,EIF1AD,EIF2B2,EIF3H,EIF4G2,EIF6,ELK1,FOS,FOSB,FOSL1,FOSL2,GIN1,HDAC3,HDGF,HMX3,IRF3,JUNB,KLF7,LOC93349,MEIS1,MTMR15,NR2F2,NR2F6,NR4A1,NR4A2,NR4A3,ORC1L,PABPC1L,PARN,POLD1,PPIL4,PSMA1,PURB,RBM19,RFC4,RPL22,RPL24,RPL38,RPS27,SF3B14,SND1,SNRPB2,SPAG7,SRF,SRRM1,SYNJ2,TADA3L,TCF7,TOPBP1,UPF2,VPS72,YARS,ZC3H15,ZNF252,ZNF408,ZNF644,ZNF76	SRF.10,SRF.104,SRF.11,SRF.117,SRF.13,SRF.137,SRF.139,SRF.146,SRF.156,SRF.158,SRF.176,SRF.2,SRF.20,SRF.204,SRF.207,SRF.21,SRF.216,SRF.218,SRF.236,SRF.25,SRF.251,SRF.255,SRF.268,SRF.297,SRF.3,SRF.306,SRF.308,SRF.31,SRF.317,SRF.330,SRF.331,SRF.35,SRF.356,SRF.358,SRF.359,SRF.36,SRF.361,SRF.363,SRF.365,SRF.367,SRF.37,SRF.382,SRF.39,SRF.393,SRF.398,SRF.40,SRF.401,SRF.426,SRF.434,SRF.446,SRF.450,SRF.453,SRF.459,SRF.465,SRF.470,SRF.493,SRF.50,SRF.505,SRF.52,SRF.523,SRF.526,SRF.53,SRF.537,SRF.543,SRF.548,SRF.55,SRF.554,SRF.64,SRF.65,SRF.68,SRF.73,SRF.80,SRF.84,SRF.99
GO:0003677	DNA binding	4	5	1.676427e-68	4.693996e-65	9.387993e-66	5.835695e+01	8.396601e-01	556	49	1.510180e-03	8.812950e-02	22	1.175002e-02	1.000000e+00	1.000000e+00	1.418694e+00	2.960469e+01	17217	2197	232	42	1.810345e-01	1.911698e-02	ARID3B,BANF1,EBF3,EGR1,EGR2,EGR3,EGR4,ELK1,FOS,FOSB,FOSL1,FOSL2,GIN1,HDAC3,HDGF,HMX3,IRF3,JUNB,KLF7,LOC93349,MEIS1,MTMR15,NR2F2,NR2F6,NR4A1,NR4A2,NR4A3,ORC1L,POLD1,PURB,RFC4,RPS27,SRF,SRRM1,TADA3L,TCF7,TOPBP1,VPS72,ZNF252,ZNF408,ZNF644,ZNF76	SRF.10,SRF.104,SRF.11,SRF.117,SRF.13,SRF.139,SRF.146,SRF.176,SRF.2,SRF.20,SRF.204,SRF.21,SRF.236,SRF.25,SRF.255,SRF.3,SRF.317,SRF.331,SRF.35,SRF.356,SRF.358,SRF.359,SRF.36,SRF.361,SRF.367,SRF.37,SRF.382,SRF.39,SRF.40,SRF.446,SRF.450,SRF.453,SRF.459,SRF.493,SRF.50,SRF.505,SRF.52,SRF.53,SRF.537,SRF.543,SRF.548,SRF.55,SRF.554,SRF.64,SRF.65,SRF.68,SRF.80,SRF.84,SRF.99
GO:0030528	transcription regulator activity	2	10	1.522278e-57	4.262379e-54	4.262379e-55	6.351964e+01	6.297265e-01	556	40	1.132602e-03	7.194245e-02	4	5.491039e-04	1.000000e+00	3.843727e-01	1.826227e+00	1.807005e+01	17217	1341	232	33	1.422414e-01	2.460850e-02	DNM2,EBF3,EGR1,EGR2,EGR3,EGR4,ELK1,ELL2,FHL2,FOS,FOSB,FOSL1,FOSL2,HMX3,ING1,IRF3,JUNB,KAT5,KLF7,MEIS1,NR2F2,NR2F6,NR4A1,NR4A2,NR4A3,PEX14,PURB,RSF1,SND1,SRF,TADA3L,TCF7,VPS72	SRF.10,SRF.11,SRF.117,SRF.13,SRF.139,SRF.176,SRF.192,SRF.2,SRF.20,SRF.21,SRF.25,SRF.278,SRF.3,SRF.306,SRF.35,SRF.359,SRF.36,SRF.361,SRF.382,SRF.39,SRF.395,SRF.40,SRF.428,SRF.438,SRF.446,SRF.450,SRF.459,SRF.49,SRF.50,SRF.505,SRF.52,SRF.53,SRF.54,SRF.543,SRF.548,SRF.55,SRF.64,SRF.68,SRF.84,SRF.99
GO:0003700	transcription factor activity	3	12	1.259113e-44	3.525518e-41	2.937931e-42	6.956899e+01	4.312266e-01	556	30	7.755875e-04	5.395683e-02	8	1.673872e-03	1.000000e+00	5.858552e-01	1.955164e+00	1.176372e+01	17217	873	232	23	9.913793e-02	2.634593e-02	EGR1,EGR2,EGR3,EGR4,ELK1,FOS,FOSB,FOSL1,FOSL2,HMX3,IRF3,JUNB,KLF7,MEIS1,NR2F2,NR2F6,NR4A1,NR4A2,NR4A3,PURB,SRF,TADA3L,VPS72	SRF.10,SRF.11,SRF.117,SRF.13,SRF.139,SRF.176,SRF.2,SRF.20,SRF.21,SRF.25,SRF.3,SRF.35,SRF.359,SRF.361,SRF.382,SRF.39,SRF.40,SRF.446,SRF.450,SRF.459,SRF.50,SRF.505,SRF.52,SRF.53,SRF.543,SRF.548,SRF.55,SRF.64,SRF.68,SRF.84
GO:0003723	RNA binding	4	15	9.383282e-30	2.627319e-26	1.751546e-27	9.525773e+01	1.889611e-01	556	18	3.398580e-04	3.237410e-02	11	3.311477e-03	1.000000e+00	8.429215e-01	2.045638e+00	8.799210e+00	17217	653	232	18	7.758621e-02	2.756508e-02	CSTF1,DDX18,DDX51,EIF1AD,PABPC1L,PARN,PPIL4,PSMA1,RBM19,RPL22,RPL24,RPL38,SF3B14,SNRPB2,SRRM1,SYNJ2,UPF2,YARS	SRF.137,SRF.156,SRF.207,SRF.216,SRF.218,SRF.251,SRF.268,SRF.297,SRF.31,SRF.363,SRF.365,SRF.393,SRF.398,SRF.401,SRF.434,SRF.523,SRF.537,SRF.65
GO:0043565	sequence-specific DNA binding	5	18	1.146694e-24	3.210744e-21	1.783747e-22	5.884422e+01	2.888984e-01	556	17	5.196014e-04	3.057554e-02	16	5.526371e-03	1.000000e+00	9.671150e-01	2.104288e+00	7.128303e+00	17217	529	232	15	6.465517e-02	2.835539e-02	ELK1,FOS,FOSB,FOSL1,FOSL2,HMX3,JUNB,MEIS1,NR2F2,NR2F6,NR4A1,NR4A2,NR4A3,PURB,SRF	SRF.11,SRF.117,SRF.139,SRF.176,SRF.21,SRF.35,SRF.361,SRF.382,SRF.39,SRF.40,SRF.446,SRF.450,SRF.459,SRF.53,SRF.543,SRF.64,SRF.84
GO:0046983	protein dimerization activity	4	19	1.493336e-23	4.181341e-20	2.200706e-21	9.680275e+01	1.446240e-01	556	14	2.601151e-04	2.517986e-02	20	1.082494e-02	1.000000e+00	1.000000e+00	2.145866e+00	5.592147e+00	17217	415	232	12	5.172414e-02	2.891566e-02	B4GALT1,CCDC88A,FOS,FOSB,FOSL1,FOSL2,JUNB,KATNB1,MCL1,NR4A1,PLOD1,SRF	SRF.11,SRF.139,SRF.152,SRF.172,SRF.188,SRF.21,SRF.39,SRF.40,SRF.459,SRF.53,SRF.64,SRF.84,SRF.87,SRF.97
GO:0008134	transcription factor binding	4	23	1.707601e-21	4.781281e-18	2.078818e-19	6.873938e+01	2.036678e-01	556	14	3.663091e-04	2.517986e-02	17	7.118542e-03	1.000000e+00	1.000000e+00	2.182683e+00	5.955974e+00	17217	442	232	13	5.603448e-02	2.941176e-02	FHL2,FOSB,HDAC3,IRF3,JUNB,KAT5,KLF7,NR2F2,PEX14,SND1,SRF,TRAPPC2,ZNHIT3	SRF.11,SRF.13,SRF.139,SRF.214,SRF.279,SRF.306,SRF.35,SRF.40,SRF.428,SRF.49,SRF.493,SRF.50,SRF.53,SRF.54
GO:0016563	transcription activator activity	3	25	1.514278e-19	4.239978e-16	1.695991e-17	8.223212e+01	1.459284e-01	556	12	2.624611e-04	2.158273e-02	13	3.739907e-03	1.000000e+00	8.055184e-01	2.591502e+00	4.244642e+00	17217	315	232	11	4.741379e-02	3.492063e-02	DNM2,EGR1,FHL2,FOSL1,ING1,JUNB,KAT5,KLF7,NR4A1,NR4A3,RSF1	SRF.11,SRF.176,SRF.192,SRF.2,SRF.21,SRF.278,SRF.3,SRF.438,SRF.49,SRF.50,SRF.54,SRF.64
