# GREAT Version 5.03
# Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension
# Significance tests required to pass thresholds: both
# Raw P-val tolerated: 5.000000e-02
# Annotation count range: [1, -1]
# DAG level range: [1, -1]
# Tests performed: 6762
# ID	Desc	DAGLvl	BRank	BPval	BBonf	BFDR	BFold	BExp	Bn	Bk	BProb	RegionSetCov	HRank	HPval	HBonf	HFDR	HFold	HExp	HN	HK	Hn	Hk	GeneSetCov	TermGeneCov	Genes	Regions
4761	TS21_embryo	2	7	3.843643e-68	2.599071e-64	3.712959e-65	4.762931e+01	1.091765e+00	556	52	1.963606e-03	9.352518e-02	27	2.694737e-03	1.000000e+00	6.748818e-01	1.474200e+00	3.391671e+01	17217	2517	232	50	2.155172e-01	1.986492e-02	ARID3B,C14orf1,CBX7,CCDC88A,CCT2,CNN2,DCLRE1B,EBF3,EGR4,EIF3H,FHL2,FOS,FOSB,FOSL2,HDAC3,HDGF,HMX3,ING1,ING4,IRF3,JUNB,KCNH2,KLF7,KLHL21,MCL1,MEIS1,MTTP,NR2F2,NR2F6,NR4A1,NR4A2,NR4A3,PFN1,PLOD1,PPIL4,RBM19,RIF1,RPL10,RSU1,SF3B14,SND1,SNRPB2,SRF,SRRM1,SYNJ2,TCF7,TLE4,VAMP4,VPS72,ZYX	SRF.11,SRF.110,SRF.117,SRF.13,SRF.139,SRF.152,SRF.176,SRF.188,SRF.191,SRF.20,SRF.21,SRF.218,SRF.232,SRF.236,SRF.243,SRF.252,SRF.297,SRF.306,SRF.31,SRF.319,SRF.337,SRF.340,SRF.35,SRF.355,SRF.356,SRF.357,SRF.359,SRF.36,SRF.369,SRF.382,SRF.39,SRF.398,SRF.40,SRF.431,SRF.434,SRF.438,SRF.44,SRF.446,SRF.450,SRF.457,SRF.459,SRF.465,SRF.485,SRF.49,SRF.493,SRF.50,SRF.53,SRF.65,SRF.82,SRF.84,SRF.87,SRF.99
4760	Theiler_stage_21	1	8	3.949794e-68	2.670851e-64	3.338563e-65	4.760389e+01	1.092348e+00	556	52	1.964654e-03	9.352518e-02	29	2.784772e-03	1.000000e+00	6.493319e-01	1.471861e+00	3.397061e+01	17217	2521	232	50	2.155172e-01	1.983340e-02	ARID3B,C14orf1,CBX7,CCDC88A,CCT2,CNN2,DCLRE1B,EBF3,EGR4,EIF3H,FHL2,FOS,FOSB,FOSL2,HDAC3,HDGF,HMX3,ING1,ING4,IRF3,JUNB,KCNH2,KLF7,KLHL21,MCL1,MEIS1,MTTP,NR2F2,NR2F6,NR4A1,NR4A2,NR4A3,PFN1,PLOD1,PPIL4,RBM19,RIF1,RPL10,RSU1,SF3B14,SND1,SNRPB2,SRF,SRRM1,SYNJ2,TCF7,TLE4,VAMP4,VPS72,ZYX	SRF.11,SRF.110,SRF.117,SRF.13,SRF.139,SRF.152,SRF.176,SRF.188,SRF.191,SRF.20,SRF.21,SRF.218,SRF.232,SRF.236,SRF.243,SRF.252,SRF.297,SRF.306,SRF.31,SRF.319,SRF.337,SRF.340,SRF.35,SRF.355,SRF.356,SRF.357,SRF.359,SRF.36,SRF.369,SRF.382,SRF.39,SRF.398,SRF.40,SRF.431,SRF.434,SRF.438,SRF.44,SRF.446,SRF.450,SRF.457,SRF.459,SRF.465,SRF.485,SRF.49,SRF.493,SRF.50,SRF.53,SRF.65,SRF.82,SRF.84,SRF.87,SRF.99
4799	TS21_organ system	3	13	7.713467e-53	5.215847e-49	4.012190e-50	4.478414e+01	9.155026e-01	556	41	1.646587e-03	7.374101e-02	60	8.862728e-03	1.000000e+00	9.988294e-01	1.460132e+00	2.739478e+01	17217	2033	232	40	1.724138e-01	1.967536e-02	ARID3B,C14orf1,CBX7,CCT2,CNN2,DCLRE1B,EBF3,EGR4,EIF3H,FHL2,FOS,FOSL2,HDGF,HMX3,ING1,ING4,JUNB,KCNH2,KLF7,MCL1,MEIS1,MTTP,NR2F2,NR2F6,NR4A2,NR4A3,PLOD1,PPIL4,RBM19,RIF1,RSU1,SF3B14,SND1,SNRPB2,SRRM1,SYNJ2,TCF7,VAMP4,VPS72,ZYX	SRF.11,SRF.110,SRF.117,SRF.176,SRF.188,SRF.20,SRF.218,SRF.236,SRF.243,SRF.252,SRF.297,SRF.306,SRF.31,SRF.319,SRF.337,SRF.35,SRF.355,SRF.356,SRF.357,SRF.359,SRF.36,SRF.369,SRF.382,SRF.39,SRF.398,SRF.434,SRF.438,SRF.44,SRF.446,SRF.450,SRF.457,SRF.459,SRF.465,SRF.485,SRF.49,SRF.50,SRF.65,SRF.82,SRF.84,SRF.87,SRF.99
27	Theiler_stage_5	1	14	5.386118e-50	3.642093e-46	2.601495e-47	7.483477e+01	4.409715e-01	556	33	7.931142e-04	5.935252e-02	3	2.380481e-05	1.609681e-01	5.365604e-02	2.264838e+00	1.324598e+01	17217	983	232	30	1.293103e-01	3.051882e-02	ACTB,ARID3B,EGR1,EIF2B2,EIF3H,ELK1,FOS,FOSL2,HDAC3,ING1,ING4,IQGAP1,IRF3,JUNB,KLF7,MCL1,MEIS1,NR2F2,RIF1,RPS6KA1,SRF,SURF6,TCF7,TLE3,UBE2D3,WNT6,ZC3H15,ZNF644,ZNF76,ZYX	SRF.11,SRF.13,SRF.135,SRF.139,SRF.161,SRF.2,SRF.204,SRF.252,SRF.255,SRF.3,SRF.309,SRF.316,SRF.319,SRF.337,SRF.35,SRF.356,SRF.36,SRF.361,SRF.368,SRF.39,SRF.4,SRF.426,SRF.438,SRF.446,SRF.459,SRF.465,SRF.493,SRF.50,SRF.53,SRF.541,SRF.73,SRF.84,SRF.87
28	TS5_embryo	2	16	1.146880e-46	7.755200e-43	4.847000e-44	9.204060e+01	3.150783e-01	556	29	5.666876e-04	5.215827e-02	1	1.774289e-06	1.199774e-02	1.199774e-02	2.833321e+00	9.176512e+00	17217	681	232	26	1.120690e-01	3.817915e-02	ACTB,ARID3B,EGR1,EIF2B2,EIF3H,ELK1,FOS,ING1,ING4,IQGAP1,IRF3,JUNB,MCL1,MEIS1,RIF1,RPS6KA1,SRF,SURF6,TCF7,TLE3,UBE2D3,WNT6,ZC3H15,ZNF644,ZNF76,ZYX	SRF.11,SRF.13,SRF.135,SRF.139,SRF.161,SRF.2,SRF.204,SRF.252,SRF.255,SRF.3,SRF.309,SRF.316,SRF.319,SRF.337,SRF.356,SRF.36,SRF.361,SRF.368,SRF.39,SRF.4,SRF.426,SRF.438,SRF.446,SRF.459,SRF.465,SRF.53,SRF.541,SRF.73,SRF.87
29	TS5_inner cell mass	3	19	4.211033e-45	2.847501e-41	1.498685e-42	9.203350e+01	3.042370e-01	556	28	5.471889e-04	5.035971e-02	2	2.564353e-06	1.734015e-02	8.670077e-03	2.849893e+00	8.772260e+00	17217	651	232	25	1.077586e-01	3.840246e-02	ACTB,ARID3B,EGR1,EIF2B2,EIF3H,ELK1,FOS,ING1,ING4,IQGAP1,IRF3,JUNB,MCL1,MEIS1,RIF1,RPS6KA1,SRF,TCF7,TLE3,UBE2D3,WNT6,ZC3H15,ZNF644,ZNF76,ZYX	SRF.11,SRF.13,SRF.139,SRF.161,SRF.2,SRF.204,SRF.252,SRF.255,SRF.3,SRF.309,SRF.316,SRF.319,SRF.337,SRF.356,SRF.36,SRF.361,SRF.368,SRF.39,SRF.4,SRF.426,SRF.438,SRF.446,SRF.459,SRF.465,SRF.53,SRF.541,SRF.73,SRF.87
7153	TS28_female germ cell	6	21	6.868778e-45	4.644668e-41	2.211747e-42	7.100752e+01	4.224905e-01	556	30	7.598749e-04	5.395683e-02	5	2.029692e-04	1.000000e+00	2.744955e-01	2.109161e+00	1.280130e+01	17217	950	232	27	1.163793e-01	2.842105e-02	ACTB,ARID3B,EBF3,EGR1,EIF2B2,EIF3H,ELK1,FOS,FOSL2,ING1,ING4,IQGAP1,IRF3,JUNB,KLF7,NR2F2,PABPC1L,RIF1,RPS6KA1,SRF,SURF6,TCF7,TLE3,ZC3H15,ZNF644,ZNF76,ZYX	SRF.11,SRF.13,SRF.135,SRF.139,SRF.161,SRF.2,SRF.204,SRF.251,SRF.252,SRF.255,SRF.3,SRF.309,SRF.319,SRF.337,SRF.35,SRF.356,SRF.36,SRF.361,SRF.39,SRF.4,SRF.426,SRF.438,SRF.459,SRF.465,SRF.50,SRF.53,SRF.541,SRF.73,SRF.84,SRF.99
6020	TS22_gut	6	22	1.291032e-44	8.729960e-41	3.968163e-42	6.234399e+01	4.972412e-01	556	31	8.943187e-04	5.575540e-02	72	1.060613e-02	1.000000e+00	9.960920e-01	1.566321e+00	1.851472e+01	17217	1374	232	29	1.250000e-01	2.110626e-02	ACO2,C7orf42,DPH1,EGR1,FHL2,FOS,GADD45G,GCAT,HOMER1,MAP3K14,MAPKBP1,MEIS1,MORC3,MTTP,NR2F2,NR2F6,NR4A2,OFD1,PEX14,POLD1,PSMA1,RPS27,SRRM1,STK16,TCF7,TLE3,TLE4,WNT6,YARS	SRF.104,SRF.117,SRF.2,SRF.207,SRF.209,SRF.26,SRF.262,SRF.279,SRF.298,SRF.3,SRF.302,SRF.312,SRF.316,SRF.323,SRF.340,SRF.35,SRF.36,SRF.369,SRF.39,SRF.425,SRF.428,SRF.446,SRF.450,SRF.453,SRF.459,SRF.49,SRF.518,SRF.523,SRF.541,SRF.6,SRF.65
15985	TS28_oocyte	7	23	5.889415e-44	3.982422e-40	1.731488e-41	7.403902e+01	3.916854e-01	556	29	7.044701e-04	5.215827e-02	4	9.534105e-05	6.446962e-01	1.611740e-01	2.251449e+00	1.154812e+01	17217	857	232	26	1.120690e-01	3.033839e-02	ACTB,ARID3B,EBF3,EGR1,EIF2B2,EIF3H,ELK1,FOS,FOSL2,ING1,ING4,IQGAP1,IRF3,JUNB,KLF7,NR2F2,PABPC1L,RIF1,SRF,SURF6,TCF7,TLE3,ZC3H15,ZNF644,ZNF76,ZYX	SRF.11,SRF.13,SRF.135,SRF.139,SRF.161,SRF.2,SRF.204,SRF.251,SRF.252,SRF.255,SRF.3,SRF.319,SRF.337,SRF.35,SRF.356,SRF.36,SRF.361,SRF.39,SRF.4,SRF.426,SRF.438,SRF.459,SRF.465,SRF.50,SRF.53,SRF.541,SRF.73,SRF.84,SRF.99
6019	TS22_alimentary system	5	25	4.738588e-43	3.204233e-39	1.281693e-40	5.540145e+01	5.595521e-01	556	31	1.006389e-03	5.575540e-02	155	3.696322e-02	1.000000e+00	1.000000e+00	1.411230e+00	2.054946e+01	17217	1525	232	29	1.250000e-01	1.901639e-02	ACO2,C7orf42,DPH1,EGR1,FHL2,FOS,GADD45G,GCAT,HOMER1,MAP3K14,MAPKBP1,MEIS1,MORC3,MTTP,NR2F2,NR2F6,NR4A2,OFD1,PEX14,POLD1,PSMA1,RPS27,SRRM1,STK16,TCF7,TLE3,TLE4,WNT6,YARS	SRF.104,SRF.117,SRF.2,SRF.207,SRF.209,SRF.26,SRF.262,SRF.279,SRF.298,SRF.3,SRF.302,SRF.312,SRF.316,SRF.323,SRF.340,SRF.35,SRF.36,SRF.369,SRF.39,SRF.425,SRF.428,SRF.446,SRF.450,SRF.453,SRF.459,SRF.49,SRF.518,SRF.523,SRF.541,SRF.6,SRF.65
