# GREAT Version 5.03
# Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension
# Significance tests required to pass thresholds: both
# Raw P-val tolerated: 5.000000e-02
# Annotation count range: [1, -1]
# DAG level range: [1, -1]
# Tests performed: 6074
# ID	Desc	DAGLvl	BRank	BPval	BBonf	BFDR	BFold	BExp	Bn	Bk	BProb	RegionSetCov	HRank	HPval	HBonf	HFDR	HFold	HExp	HN	HK	Hn	Hk	GeneSetCov	TermGeneCov	Genes	Regions
MP:0003194	abnormal frequency of paradoxical sleep	5	2	5.698780e-06	3.461439e-02	1.730719e-02	1.405735e+01	4.268231e-01	556	6	7.676674e-04	1.079137e-02	79	6.683263e-03	1.000000e+00	5.138499e-01	7.218868e+00	4.155776e-01	17217	9	795	3	3.773585e-03	3.333333e-01	FOS,FOSB,NPAS2	SRF.283,SRF.39,SRF.40,SRF.422,SRF.459,SRF.9
MP:0002398	abnormal bone marrow cell morphology/development	4	6	7.159931e-05	4.348942e-01	7.248237e-02	1.567713e+00	4.847825e+01	556	76	8.719110e-02	1.366906e-01	1	4.599524e-06	2.793751e-02	2.793751e-02	1.734511e+00	4.035721e+01	17217	874	795	70	8.805031e-02	8.009153e-02	ARHGAP1,ARHGDIB,ARID5B,B4GALT1,BCL10,BCL6,BLM,CACNA1A,CCND2,CD276,CD69,CDK6,CNN2,CORO1A,DTNBP1,DUSP10,EPAS1,ERCC1,FOS,GADD45G,GCNT1,GIMAP5,GPR132,HIVEP3,ID2,IFNAR1,IFNGR2,IGLL1,IRF1,KLF13,LCP2,LDLR,LIME1,LY86,MAP3K14,MAPK9,MCL1,MEIS1,MYH9,NOTCH2,NQO2,NR4A1,NR4A3,PAWR,PIK3R1,PPP4C,PRDX2,PRKCE,PTGER4,PTPRC,RAB27A,RBP2,RHOH,RPL22,RUNX1,SATB1,SELPLG,SH2B3,SLC35C1,SMARCA4,ST14,ST6GAL1,TANK,TCEA1,TXNIP,UBASH3A,UPF2,USP1,VAV2,WDR1	SRF.11,SRF.113,SRF.12,SRF.123,SRF.129,SRF.130,SRF.153,SRF.16,SRF.160,SRF.165,SRF.167,SRF.169,SRF.170,SRF.176,SRF.179,SRF.186,SRF.19,SRF.198,SRF.199,SRF.205,SRF.21,SRF.215,SRF.22,SRF.221,SRF.233,SRF.267,SRF.268,SRF.277,SRF.281,SRF.282,SRF.283,SRF.288,SRF.289,SRF.290,SRF.295,SRF.298,SRF.307,SRF.315,SRF.322,SRF.325,SRF.326,SRF.339,SRF.343,SRF.354,SRF.363,SRF.364,SRF.37,SRF.386,SRF.39,SRF.429,SRF.433,SRF.446,SRF.45,SRF.455,SRF.456,SRF.459,SRF.476,SRF.48,SRF.486,SRF.488,SRF.501,SRF.51,SRF.510,SRF.516,SRF.531,SRF.532,SRF.535,SRF.544,SRF.6,SRF.67,SRF.82,SRF.83,SRF.87,SRF.9,SRF.93,SRF.97
MP:0006318	mammary gland tumor	6	7	8.138766e-05	4.943487e-01	7.062124e-02	3.915496e+00	3.064746e+00	556	12	5.512132e-03	2.158273e-02	58	3.284339e-03	1.000000e+00	3.439496e-01	3.525494e+00	1.985538e+00	17217	43	795	7	8.805031e-03	1.627907e-01	ACTB,BARD1,BLM,CDH13,ID2,IGF1R,LZTS1	SRF.123,SRF.175,SRF.18,SRF.208,SRF.343,SRF.4,SRF.410,SRF.413,SRF.494,SRF.510,SRF.529,SRF.90
MP:0005076	abnormal cell differentiation	4	9	1.714638e-04	1.000000e+00	1.157190e-01	4.227453e+00	2.365491e+00	556	10	4.254479e-03	1.798561e-02	3	2.023660e-05	1.229171e-01	4.097236e-02	6.416771e+00	1.246733e+00	17217	27	795	8	1.006289e-02	2.962963e-01	EIF4G2,GMNN,ID2,IRS2,JDP2,KIAA1303,LMNB1,NCOR2	SRF.162,SRF.264,SRF.334,SRF.343,SRF.402,SRF.468,SRF.510,SRF.521,SRF.526,SRF.9
MP:0002801	abnormal long term object recognition memory	7	10	1.758996e-04	1.000000e+00	1.068414e-01	7.537626e+00	7.960066e-01	556	6	1.431667e-03	1.079137e-02	134	1.982392e-02	1.000000e+00	8.985858e-01	4.997678e+00	6.002788e-01	17217	13	795	3	3.773585e-03	2.307692e-01	ARC,EGR1,JPH3	SRF.141,SRF.2,SRF.3,SRF.5,SRF.553,SRF.60
MP:0001344	blepharoptosis	5	11	1.898701e-04	1.000000e+00	1.048428e-01	7.430308e+00	8.075035e-01	556	6	1.452344e-03	1.079137e-02	71	5.261538e-03	1.000000e+00	4.501209e-01	5.414151e+00	7.388047e-01	17217	16	795	4	5.031447e-03	2.500000e-01	EGR3,GFRA2,NGF,STAMBP	SRF.10,SRF.208,SRF.303,SRF.515,SRF.548,SRF.55
MP:0002619	abnormal lymphocyte morphology	7	12	3.651948e-04	1.000000e+00	1.848494e-01	1.516243e+00	4.616674e+01	556	70	8.303370e-02	1.258993e-01	2	1.362864e-05	8.278037e-02	4.139018e-02	1.718778e+00	3.781756e+01	17217	819	795	65	8.176101e-02	7.936508e-02	ARHGDIB,ARID5B,B4GALT1,BCL10,BCL6,BTRC,CCND2,CD276,CD44,CD69,CDK6,CDS2,CORO1A,DUSP10,ERCC1,FGF23,FOS,GADD45G,GCNT1,GIMAP5,GPR132,HIVEP3,HLA-DOA,ID2,IFNAR1,IFNGR2,IGLL1,ING1,IRF1,KLF13,LCP2,LDLR,LIME1,LY86,MAP3K14,MAPK9,MCL1,NOTCH2,NQO2,NR4A1,NR4A3,PAWR,PIK3R1,PPIA,PPP4C,PRKCE,PTGER4,PTPRC,RHOH,RPL22,RUNX1,SATB1,SELPLG,SH2B3,SLC35C1,SMARCA4,SRF,ST14,ST6GAL1,TANK,TCF7,TXNIP,UBASH3A,UPF2,VAV2	SRF.113,SRF.129,SRF.130,SRF.139,SRF.150,SRF.153,SRF.16,SRF.160,SRF.165,SRF.167,SRF.170,SRF.176,SRF.179,SRF.19,SRF.198,SRF.199,SRF.200,SRF.21,SRF.215,SRF.221,SRF.249,SRF.267,SRF.268,SRF.277,SRF.281,SRF.282,SRF.283,SRF.288,SRF.290,SRF.295,SRF.298,SRF.307,SRF.315,SRF.322,SRF.325,SRF.326,SRF.339,SRF.343,SRF.354,SRF.36,SRF.363,SRF.364,SRF.386,SRF.388,SRF.39,SRF.408,SRF.429,SRF.433,SRF.438,SRF.455,SRF.456,SRF.459,SRF.476,SRF.48,SRF.486,SRF.488,SRF.501,SRF.51,SRF.510,SRF.516,SRF.525,SRF.53,SRF.535,SRF.544,SRF.6,SRF.67,SRF.87,SRF.9,SRF.93,SRF.97
MP:0008079	decreased CD8-positive T cell number	10	15	4.811222e-04	1.000000e+00	1.948224e-01	2.414486e+00	7.869169e+00	556	19	1.415318e-02	3.417266e-02	10	8.332151e-05	5.060948e-01	5.060948e-02	2.876268e+00	5.910437e+00	17217	128	795	17	2.138365e-02	1.328125e-01	CDK6,CORO1A,GIMAP5,ID2,IRF1,LCP2,MCL1,PPP4C,PTPRC,RHOH,RPL22,RUNX1,SMARCA4,SRF,TXNIP,UPF2,VAV2	SRF.130,SRF.139,SRF.165,SRF.167,SRF.199,SRF.268,SRF.277,SRF.288,SRF.343,SRF.363,SRF.364,SRF.386,SRF.433,SRF.476,SRF.48,SRF.510,SRF.53,SRF.87,SRF.93
MP:0001070	abnormal abducens nerve morphology	6	17	5.822043e-04	1.000000e+00	2.080182e-01	1.897838e+01	1.580746e-01	556	3	2.843069e-04	5.395683e-03	76	6.192600e-03	1.000000e+00	4.949191e-01	1.443774e+01	1.385259e-01	17217	3	795	2	2.515723e-03	6.666667e-01	EGR2,LHX3	SRF.25,SRF.38,SRF.52
MP:0001458	abnormal object recognition memory	6	18	7.204010e-04	1.000000e+00	2.430953e-01	4.855076e+00	1.441790e+00	556	7	2.593148e-03	1.258993e-02	182	3.400236e-02	1.000000e+00	1.000000e+00	3.208386e+00	1.246733e+00	17217	27	795	4	5.031447e-03	1.481481e-01	ARC,BAIAP2,EGR1,JPH3	SRF.141,SRF.2,SRF.3,SRF.5,SRF.527,SRF.553,SRF.60
