# GREAT Version 5.03
# Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension
# Significance tests required to pass thresholds: both
# Raw P-val tolerated: 5.000000e-02
# Annotation count range: [1, -1]
# DAG level range: [1, -1]
# Tests performed: 2800
# ID	Desc	DAGLvl	BRank	BPval	BBonf	BFDR	BFold	BExp	Bn	Bk	BProb	RegionSetCov	HRank	HPval	HBonf	HFDR	HFold	HExp	HN	HK	Hn	Hk	GeneSetCov	TermGeneCov	Genes	Regions
GO:0051015	actin filament binding	6	1	4.147941e-06	1.161423e-02	1.161423e-02	5.330600e+00	2.251154e+00	556	12	4.048838e-03	2.158273e-02	9	3.430620e-04	9.605735e-01	1.067304e-01	4.442380e+00	1.800836e+00	17217	39	795	8	1.006289e-02	2.051282e-01	CORO1A,EZR,FLNA,FSCN1,LIMA1,MACF1,MAP1S,MYH9	SRF.12,SRF.169,SRF.175,SRF.197,SRF.22,SRF.289,SRF.299,SRF.335,SRF.377,SRF.48,SRF.480,SRF.66
GO:0010843	promoter binding	6	2	1.159121e-05	3.245539e-02	1.622769e-02	1.238825e+01	4.843300e-01	556	6	8.710972e-04	1.079137e-02	19	4.612791e-03	1.000000e+00	6.797798e-01	8.121226e+00	3.694023e-01	17217	8	795	3	3.773585e-03	3.750000e-01	FOS,SREBF1,SRF	SRF.139,SRF.39,SRF.459,SRF.53,SRF.549,SRF.9
GO:0008092	cytoskeletal protein binding	4	4	7.906750e-05	2.213890e-01	5.534725e-02	1.830123e+00	2.513492e+01	556	46	4.520670e-02	8.273381e-02	2	1.882558e-05	5.271163e-02	2.635582e-02	2.004336e+00	2.045565e+01	17217	443	795	41	5.157233e-02	9.255079e-02	ALDOA,ARPC5,B4GALT1,BAIAP2,CAP1,CAPN10,CAPZB,CCDC88A,CFL1,CNN2,CORO1A,CORO1C,COTL1,DBN1,DNM2,EZR,FLNA,FSCN1,GABARAPL2,GMFG,IPP,IQGAP2,KATNB1,LIMA1,MACF1,MAP1S,MAPRE1,MKL2,MYH9,MYLIP,MYO1B,MYO1G,PALLD,PFN1,PLEC1,RAB27A,RHCG,SMTN,STK38L,TPM4,WDR1	SRF.102,SRF.106,SRF.113,SRF.118,SRF.12,SRF.125,SRF.136,SRF.138,SRF.152,SRF.164,SRF.169,SRF.17,SRF.172,SRF.175,SRF.181,SRF.186,SRF.192,SRF.197,SRF.22,SRF.223,SRF.226,SRF.232,SRF.253,SRF.259,SRF.289,SRF.299,SRF.318,SRF.335,SRF.352,SRF.377,SRF.396,SRF.45,SRF.47,SRF.48,SRF.480,SRF.517,SRF.522,SRF.527,SRF.530,SRF.531,SRF.534,SRF.545,SRF.66,SRF.82,SRF.93,SRF.97
GO:0003779	actin binding	5	5	1.097580e-04	3.073224e-01	6.146448e-02	1.978995e+00	1.819105e+01	556	36	3.271772e-02	6.474820e-02	4	2.609991e-05	7.307974e-02	1.826994e-02	2.230414e+00	1.389876e+01	17217	301	795	31	3.899371e-02	1.029900e-01	ALDOA,ARPC5,CAP1,CAPZB,CCDC88A,CFL1,CNN2,CORO1A,CORO1C,COTL1,DBN1,EZR,FLNA,FSCN1,GMFG,IPP,IQGAP2,LIMA1,MACF1,MAP1S,MKL2,MYH9,MYO1B,MYO1G,PALLD,PFN1,PLEC1,SMTN,STK38L,TPM4,WDR1	SRF.102,SRF.106,SRF.113,SRF.118,SRF.12,SRF.125,SRF.136,SRF.138,SRF.152,SRF.164,SRF.169,SRF.17,SRF.175,SRF.181,SRF.197,SRF.22,SRF.232,SRF.259,SRF.289,SRF.299,SRF.318,SRF.335,SRF.377,SRF.396,SRF.45,SRF.47,SRF.48,SRF.480,SRF.517,SRF.522,SRF.530,SRF.534,SRF.545,SRF.66,SRF.82,SRF.93
GO:0032422	purine-rich negative regulatory element binding	6	6	1.288555e-04	3.607953e-01	6.013255e-02	3.187478e+01	9.411829e-02	556	3	1.692775e-04	5.395683e-03	15	2.129599e-03	1.000000e+00	3.975252e-01	2.165660e+01	9.235058e-02	17217	2	795	2	2.515723e-03	1.000000e+00	ELK3,PURB	SRF.538,SRF.543,SRF.545
GO:0008135	translation factor activity, nucleic acid binding	3	8	8.312182e-04	1.000000e+00	2.909264e-01	3.205724e+00	3.431362e+00	556	11	6.171515e-03	1.978417e-02	29	1.138557e-02	1.000000e+00	1.000000e+00	2.303894e+00	4.340477e+00	17217	94	795	10	1.257862e-02	1.063830e-01	EEF1B2,EEF2K,EIF1AD,EIF2B2,EIF3H,EIF4G2,EIF6,ETF1,PURB,TCEA1	SRF.111,SRF.205,SRF.308,SRF.465,SRF.470,SRF.5,SRF.526,SRF.537,SRF.543,SRF.545,SRF.73
GO:0033612	receptor serine/threonine kinase binding	5	9	8.581117e-04	1.000000e+00	2.669681e-01	4.756611e+01	4.204675e-02	556	2	7.562364e-05	3.597122e-03	55	4.617529e-02	1.000000e+00	1.000000e+00	2.165660e+01	4.617529e-02	17217	1	795	1	1.257862e-03	1.000000e+00	BMP10	SRF.29,SRF.81
GO:0019899	enzyme binding	4	12	1.143023e-03	1.000000e+00	2.667055e-01	1.739400e+00	2.069679e+01	556	36	3.722444e-02	6.474820e-02	5	3.938606e-05	1.102810e-01	2.205619e-02	2.152209e+00	1.486844e+01	17217	322	795	32	4.025157e-02	9.937888e-02	ACTB,AKAP8L,AURKA,BARD1,BCL10,CCDC88A,CCND2,CORO1A,COTL1,DNM2,DOCK3,DUSP2,EID1,EPAS1,FLNA,GABARAPL2,IGF1R,IL6R,IQGAP1,IRS2,LATS1,MAST2,MLPH,PARC,PAWR,PIK3R1,PPP1CC,PRKAG2,PTPRC,RAPGEF6,RHOH,SP100	SRF.131,SRF.139,SRF.152,SRF.153,SRF.16,SRF.161,SRF.167,SRF.17,SRF.175,SRF.178,SRF.18,SRF.181,SRF.192,SRF.197,SRF.203,SRF.215,SRF.226,SRF.227,SRF.264,SRF.266,SRF.277,SRF.296,SRF.365,SRF.4,SRF.410,SRF.413,SRF.436,SRF.48,SRF.484,SRF.486,SRF.494,SRF.501,SRF.502,SRF.551,SRF.63,SRF.90
GO:0043021	ribonucleoprotein binding	3	14	1.466606e-03	1.000000e+00	2.933213e-01	8.383587e+00	4.771227e-01	556	4	8.581344e-04	7.194245e-03	28	1.003861e-02	1.000000e+00	1.000000e+00	4.559285e+00	8.773305e-01	17217	19	795	4	5.031447e-03	2.105263e-01	EIF6,ETF1,PRPF31,SEC61B	SRF.176,SRF.399,SRF.470,SRF.5
GO:0042802	identical protein binding	4	15	1.634357e-03	1.000000e+00	3.050800e-01	1.605134e+00	2.741205e+01	556	44	4.930225e-02	7.913669e-02	10	4.405924e-04	1.000000e+00	1.233659e-01	1.763273e+00	2.211796e+01	17217	479	795	39	4.905660e-02	8.141962e-02	ACTG1,ALDOA,APLP2,B4GALT1,BARD1,CCDC88A,CDH13,CORO1A,CSNK2B,DFFA,DTNBP1,FHL2,FLNA,HCFC1,HSP90AA1,IGF1R,IL6R,MAP1S,MKL2,MUL1,MYH9,NOG,NR4A1,OXCT1,PFKFB3,PLOD1,POP4,PPP1CC,PRMT8,RAD51,RUNX1,SLC9A7,SMARCA4,SP100,SRF,TARS,TRIM39,UPF2,ZNF408	SRF.12,SRF.131,SRF.139,SRF.145,SRF.152,SRF.155,SRF.159,SRF.169,SRF.171,SRF.178,SRF.188,SRF.197,SRF.21,SRF.22,SRF.282,SRF.288,SRF.289,SRF.318,SRF.341,SRF.363,SRF.37,SRF.394,SRF.397,SRF.407,SRF.410,SRF.413,SRF.423,SRF.427,SRF.428,SRF.43,SRF.433,SRF.435,SRF.48,SRF.480,SRF.49,SRF.500,SRF.529,SRF.53,SRF.531,SRF.551,SRF.86,SRF.92,SRF.93,SRF.97
