# GREAT Version 5.03
# Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension
# Significance tests required to pass thresholds: both
# Raw P-val tolerated: 5.000000e-02
# Annotation count range: [1, -1]
# DAG level range: [1, -1]
# Tests performed: 4539
# ID	Desc	DAGLvl	BRank	BPval	BBonf	BFDR	BFold	BExp	Bn	Bk	BProb	RegionSetCov	HRank	HPval	HBonf	HFDR	HFold	HExp	HN	HK	Hn	Hk	GeneSetCov	TermGeneCov	Genes	Regions
GO:0009987	cellular process	2	1	1.225931e-56	5.564499e-53	5.564499e-53	6.007821e+00	2.130556e+01	2105	128	1.012141e-02	6.080760e-02	125	2.875547e-03	1.000000e+00	1.044169e-01	1.170520e+00	1.059358e+02	17506	10537	176	124	7.045455e-01	1.176806e-02	Aacs,Anp32a,Arg1,Arid1a,Arid3a,Asxl1,Bcl11a,Capza2,Ccnd2,Cited2,Cmklr1,Csnk1d,Cutl1,Cxxc4,Ddit4,Ddr2,Dnahc2,Dusp6,Ect2,Edf1,Eed,Efna1,Elovl6,Emilin1,Fgd4,Fiz1,Fos,Fzd7,Gabpb1,Gas1,Gli2,Gtf2ird1,Hes1,Hist1h2ag,Hist1h2bj,Hmga1,Hnrpa3,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Hspa9,Id2,Id3,Id4,Irs1,Jmjd3,Jub,Jund1,Klf2,Klf3,Kpnb1,Lbp,Lef1,Mfap4,Mrc2,Mrps18b,Myst3,Nck2,Ndufs3,Nedd4,Nfyc,Nme5,Nuak1,Nup43,Park2,Pcdh18,Pcolce,Pdgfc,Pgk1,Picalm,Pik3r3,Pim1,Pitpnc1,Plekhh3,Pou6f1,Ppox,Ppp1r10,Ptbp1,Ptch1,Pthr1,Ptpru,Rab34,Rara,Rps23,Rps29,Rtkn,Runx1t1,Sbk1,Sema6a,Smad7,Smarca2,Smc1a,Sox5,Sp1,Sp3,Srgap2,Srrm1,Ssbp2,Ssbp3,Tbl1xr1,Tgif1,Thbs3,Thra,Timm10,Tmed10,Tnpo1,Traf7,Trmt5,Tyro3,Ubc,Usp46,Uspl1,Vdac1,Xrcc5,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp524,Zfp532,Zfp568,Zfp668	limb.1122,limb.1133,limb.1157,limb.1171,limb.1180,limb.1187,limb.1210,limb.1222,limb.1223,limb.1230,limb.1242,limb.1288,limb.131,limb.1313,limb.132,limb.1320,limb.1331,limb.1332,limb.1343,limb.1365,limb.1366,limb.1371,limb.1372,limb.1376,limb.1380,limb.1382,limb.1413,limb.1431,limb.1464,limb.1468,limb.1481,limb.1485,limb.1487,limb.1508,limb.1520,limb.1548,limb.1580,limb.1592,limb.1593,limb.1607,limb.1610,limb.1618,limb.168,limb.1690,limb.1785,limb.1790,limb.1795,limb.1810,limb.1826,limb.1883,limb.1896,limb.1899,limb.1904,limb.1905,limb.1931,limb.1948,limb.1949,limb.1973,limb.1974,limb.1980,limb.2010,limb.2026,limb.2057,limb.2101,limb.2105,limb.212,limb.22,limb.227,limb.235,limb.240,limb.241,limb.264,limb.269,limb.300,limb.305,limb.34,limb.343,limb.345,limb.368,limb.388,limb.398,limb.399,limb.426,limb.429,limb.432,limb.453,limb.48,limb.520,limb.528,limb.537,limb.552,limb.557,limb.560,limb.562,limb.563,limb.600,limb.615,limb.620,limb.63,limb.661,limb.672,limb.673,limb.690,limb.693,limb.697,limb.709,limb.722,limb.755,limb.756,limb.757,limb.758,limb.780,limb.81,limb.82,limb.820,limb.821,limb.832,limb.842,limb.85,limb.856,limb.892,limb.893,limb.909,limb.930,limb.932,limb.969,limb.995,limb.996
GO:0050789	regulation of biological process	3	2	4.824094e-44	2.189656e-40	1.094828e-40	6.667051e+00	1.364921e+01	2105	91	6.484187e-03	4.323040e-02	70	2.880370e-04	1.000000e+00	1.867714e-02	1.362986e+00	6.236308e+01	17506	6203	176	85	4.829545e-01	1.370305e-02	Anp32a,Arid3a,Asxl1,Bcl11a,Capza2,Ccnd2,Ccni,Cited2,Cmklr1,Csnk1d,Cutl1,Cxxc4,Ddit4,Ddr2,Ect2,Edf1,Eed,Efna1,Emilin1,Fgd4,Fiz1,Fos,Fzd7,Gabpb1,Gas1,Gli2,Gtf2ird1,Hes1,Hmga1,Hmgb2,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Id2,Id3,Id4,Irs1,Jmjd3,Jub,Jund1,Klf2,Klf3,Lbp,Lef1,Mfap4,Mrg1,Myst3,Nedd4,Nfyc,Nme5,Park2,Pdgfc,Pik3r3,Plekhh3,Pou6f1,Ptch1,Pthr1,Rab34,Rara,Rtkn,Runx1t1,Sema6a,Smad7,Smarca2,Sox5,Sp1,Sp3,Srgap2,Ssbp2,Ssbp3,Tbl1xr1,Tgif1,Thra,Traf7,Xrcc5,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp524,Zfp532,Zfp568,Zfp668	limb.1122,limb.1133,limb.1157,limb.1180,limb.1210,limb.1223,limb.1288,limb.131,limb.1320,limb.1331,limb.1343,limb.1365,limb.1371,limb.1372,limb.1376,limb.1413,limb.1431,limb.1481,limb.1487,limb.1508,limb.1548,limb.1580,limb.1592,limb.1593,limb.1610,limb.168,limb.1690,limb.1785,limb.1790,limb.1795,limb.1810,limb.1826,limb.1883,limb.1896,limb.1899,limb.1931,limb.1948,limb.1949,limb.1973,limb.1980,limb.2010,limb.2026,limb.2057,limb.212,limb.227,limb.257,limb.269,limb.300,limb.305,limb.34,limb.343,limb.345,limb.388,limb.399,limb.429,limb.432,limb.453,limb.48,limb.520,limb.528,limb.537,limb.562,limb.563,limb.600,limb.615,limb.63,limb.636,limb.661,limb.690,limb.693,limb.722,limb.755,limb.756,limb.757,limb.758,limb.780,limb.81,limb.82,limb.820,limb.821,limb.832,limb.842,limb.85,limb.856,limb.892,limb.909,limb.932,limb.969,limb.991,limb.995,limb.996
GO:0050794	regulation of cellular process	4	3	1.150254e-43	5.221003e-40	1.740334e-40	6.781420e+00	1.312409e+01	2105	89	6.234724e-03	4.228029e-02	58	1.920835e-04	8.718671e-01	1.503219e-02	1.387508e+00	5.981949e+01	17506	5950	176	83	4.715909e-01	1.394958e-02	Anp32a,Arid3a,Asxl1,Bcl11a,Capza2,Ccnd2,Ccni,Cited2,Cmklr1,Csnk1d,Cutl1,Cxxc4,Ddit4,Ddr2,Ect2,Edf1,Eed,Efna1,Emilin1,Fgd4,Fiz1,Fos,Fzd7,Gabpb1,Gas1,Gli2,Gtf2ird1,Hes1,Hmga1,Hmgb2,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Id2,Id3,Id4,Irs1,Jmjd3,Jub,Jund1,Klf2,Klf3,Lef1,Mfap4,Mrg1,Myst3,Nfyc,Nme5,Park2,Pdgfc,Pik3r3,Plekhh3,Pou6f1,Ptch1,Pthr1,Rab34,Rara,Rtkn,Runx1t1,Sema6a,Smad7,Smarca2,Sox5,Sp1,Sp3,Srgap2,Ssbp2,Ssbp3,Tbl1xr1,Tgif1,Thra,Traf7,Xrcc5,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp524,Zfp532,Zfp568,Zfp668	limb.1122,limb.1157,limb.1180,limb.1210,limb.1223,limb.1288,limb.131,limb.1320,limb.1331,limb.1343,limb.1365,limb.1371,limb.1372,limb.1376,limb.1413,limb.1431,limb.1481,limb.1487,limb.1508,limb.1548,limb.1580,limb.1592,limb.1593,limb.1610,limb.168,limb.1690,limb.1785,limb.1790,limb.1795,limb.1810,limb.1826,limb.1883,limb.1896,limb.1899,limb.1931,limb.1948,limb.1949,limb.1973,limb.1980,limb.2010,limb.2026,limb.2057,limb.212,limb.227,limb.257,limb.269,limb.300,limb.34,limb.343,limb.345,limb.388,limb.399,limb.429,limb.432,limb.453,limb.48,limb.520,limb.528,limb.537,limb.562,limb.563,limb.600,limb.615,limb.63,limb.636,limb.661,limb.690,limb.693,limb.722,limb.755,limb.756,limb.757,limb.758,limb.780,limb.81,limb.82,limb.820,limb.821,limb.832,limb.842,limb.85,limb.856,limb.892,limb.909,limb.932,limb.969,limb.991,limb.995,limb.996
GO:0008152	metabolic process	2	4	1.000088e-42	4.539397e-39	1.134849e-39	6.784505e+00	1.282334e+01	2105	87	6.091847e-03	4.133017e-02	85	4.783982e-04	1.000000e+00	2.554646e-02	1.344348e+00	6.322769e+01	17506	6289	176	85	4.829545e-01	1.351566e-02	Aacs,Anp32a,Arg1,Arid3a,Asxl1,Bcl11a,Cited2,Csnk1d,Cutl1,Ddr2,Dusp6,Edf1,Eed,Efna1,Elovl6,Fgd4,Fiz1,Gabpb1,Gcs1,Gtf2ird1,Hes1,Hmga1,Hnrpa3,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Hspa9,Jmjd3,Jund1,Klf2,Klf3,Lef1,Mgea5,Mrps18b,Myst3,Ndufs3,Nedd4,Nfyc,Nme5,Nuak1,Park2,Pcolce,Pdxp,Pgk1,Pim1,Pitpnc1,Pou6f1,Ppox,Ppp1r10,Ptbp1,Ptch1,Rara,Rps23,Rps29,Runx1t1,Sbk1,Smad7,Smc1a,Sox5,Sp1,Sp3,Srrm1,Ssbp2,Ssbp3,Tbl1xr1,Tgif1,Thra,Traf7,Trmt5,Tyro3,Ubc,Uck2,Usp46,Uspl1,Xrcc5,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp524,Zfp532,Zfp568,Zfp668	limb.1122,limb.1133,limb.1180,limb.1187,limb.1222,limb.1223,limb.1230,limb.1242,limb.1288,limb.130,limb.131,limb.132,limb.1331,limb.1365,limb.1371,limb.1372,limb.1382,limb.1413,limb.1464,limb.1468,limb.1481,limb.1508,limb.1592,limb.1593,limb.1607,limb.1610,limb.168,limb.1772,limb.1785,limb.1790,limb.1795,limb.1810,limb.1826,limb.1883,limb.1896,limb.1899,limb.1904,limb.1905,limb.1931,limb.1948,limb.1949,limb.1973,limb.1974,limb.2010,limb.2026,limb.2071,limb.2101,limb.2105,limb.212,limb.227,limb.235,limb.241,limb.264,limb.269,limb.300,limb.343,limb.399,limb.426,limb.429,limb.453,limb.48,limb.520,limb.537,limb.560,limb.615,limb.620,limb.672,limb.673,limb.690,limb.693,limb.697,limb.709,limb.755,limb.756,limb.757,limb.758,limb.779,limb.832,limb.842,limb.856,limb.892,limb.909,limb.930,limb.932,limb.969,limb.995,limb.996
GO:0065007	biological regulation	2	5	1.461453e-42	6.633537e-39	1.326707e-39	6.380820e+00	1.426149e+01	2105	91	6.775055e-03	4.323040e-02	114	1.726159e-03	1.000000e+00	6.872839e-02	1.295923e+00	6.559031e+01	17506	6524	176	85	4.829545e-01	1.302882e-02	Anp32a,Arid3a,Asxl1,Bcl11a,Capza2,Ccnd2,Ccni,Cited2,Cmklr1,Csnk1d,Cutl1,Cxxc4,Ddit4,Ddr2,Ect2,Edf1,Eed,Efna1,Emilin1,Fgd4,Fiz1,Fos,Fzd7,Gabpb1,Gas1,Gli2,Gtf2ird1,Hes1,Hmga1,Hmgb2,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Id2,Id3,Id4,Irs1,Jmjd3,Jub,Jund1,Klf2,Klf3,Lbp,Lef1,Mfap4,Mrg1,Myst3,Nedd4,Nfyc,Nme5,Park2,Pdgfc,Pik3r3,Plekhh3,Pou6f1,Ptch1,Pthr1,Rab34,Rara,Rtkn,Runx1t1,Sema6a,Smad7,Smarca2,Sox5,Sp1,Sp3,Srgap2,Ssbp2,Ssbp3,Tbl1xr1,Tgif1,Thra,Traf7,Xrcc5,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp524,Zfp532,Zfp568,Zfp668	limb.1122,limb.1133,limb.1157,limb.1180,limb.1210,limb.1223,limb.1288,limb.131,limb.1320,limb.1331,limb.1343,limb.1365,limb.1371,limb.1372,limb.1376,limb.1413,limb.1431,limb.1481,limb.1487,limb.1508,limb.1548,limb.1580,limb.1592,limb.1593,limb.1610,limb.168,limb.1690,limb.1785,limb.1790,limb.1795,limb.1810,limb.1826,limb.1883,limb.1896,limb.1899,limb.1931,limb.1948,limb.1949,limb.1973,limb.1980,limb.2010,limb.2026,limb.2057,limb.212,limb.227,limb.257,limb.269,limb.300,limb.305,limb.34,limb.343,limb.345,limb.388,limb.399,limb.429,limb.432,limb.453,limb.48,limb.520,limb.528,limb.537,limb.562,limb.563,limb.600,limb.615,limb.63,limb.636,limb.661,limb.690,limb.693,limb.722,limb.755,limb.756,limb.757,limb.758,limb.780,limb.81,limb.82,limb.820,limb.821,limb.832,limb.842,limb.85,limb.856,limb.892,limb.909,limb.932,limb.969,limb.991,limb.995,limb.996
GO:0044237	cellular metabolic process	3	6	1.629484e-41	7.396228e-38	1.232705e-38	6.938155e+00	1.196283e+01	2105	83	5.683057e-03	3.942993e-02	52	1.445485e-04	6.561058e-01	1.261742e-02	1.408521e+00	5.750714e+01	17506	5720	176	81	4.602273e-01	1.416084e-02	Aacs,Anp32a,Arg1,Arid3a,Asxl1,Bcl11a,Cited2,Csnk1d,Cutl1,Ddr2,Dusp6,Edf1,Eed,Efna1,Elovl6,Fgd4,Fiz1,Gabpb1,Gtf2ird1,Hes1,Hmga1,Hnrpa3,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Hspa9,Jmjd3,Jund1,Klf2,Klf3,Lef1,Mrps18b,Myst3,Ndufs3,Nedd4,Nfyc,Nme5,Nuak1,Park2,Pcolce,Pgk1,Pim1,Pitpnc1,Pou6f1,Ppox,Ppp1r10,Ptbp1,Ptch1,Rara,Rps23,Rps29,Runx1t1,Sbk1,Smad7,Smc1a,Sox5,Sp1,Sp3,Srrm1,Ssbp2,Ssbp3,Tbl1xr1,Tgif1,Thra,Traf7,Trmt5,Tyro3,Ubc,Usp46,Uspl1,Xrcc5,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp524,Zfp532,Zfp568,Zfp668	limb.1122,limb.1133,limb.1180,limb.1187,limb.1222,limb.1223,limb.1230,limb.1242,limb.1288,limb.131,limb.132,limb.1331,limb.1365,limb.1371,limb.1372,limb.1382,limb.1413,limb.1464,limb.1468,limb.1481,limb.1508,limb.1592,limb.1593,limb.1607,limb.1610,limb.168,limb.1785,limb.1790,limb.1795,limb.1810,limb.1826,limb.1883,limb.1896,limb.1899,limb.1904,limb.1905,limb.1931,limb.1948,limb.1949,limb.1973,limb.1974,limb.2010,limb.2026,limb.2101,limb.2105,limb.212,limb.227,limb.235,limb.241,limb.264,limb.269,limb.300,limb.343,limb.399,limb.426,limb.429,limb.453,limb.48,limb.520,limb.537,limb.560,limb.615,limb.620,limb.672,limb.673,limb.690,limb.693,limb.697,limb.709,limb.755,limb.756,limb.757,limb.758,limb.832,limb.842,limb.856,limb.892,limb.909,limb.930,limb.932,limb.969,limb.995,limb.996
GO:0044238	primary metabolic process	3	7	2.055290e-41	9.328962e-38	1.332709e-38	7.025348e+00	1.167202e+01	2105	82	5.544902e-03	3.895487e-02	47	9.045112e-05	4.105576e-01	8.735269e-03	1.431937e+00	5.586839e+01	17506	5557	176	80	4.545455e-01	1.439626e-02	Aacs,Anp32a,Arg1,Arid3a,Asxl1,Bcl11a,Cited2,Csnk1d,Cutl1,Ddr2,Dusp6,Edf1,Eed,Efna1,Elovl6,Fgd4,Fiz1,Gabpb1,Gcs1,Gtf2ird1,Hes1,Hmga1,Hnrpa3,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Hspa9,Jmjd3,Jund1,Klf2,Klf3,Lef1,Mrps18b,Myst3,Nedd4,Nfyc,Nme5,Nuak1,Park2,Pcolce,Pgk1,Pim1,Pitpnc1,Pou6f1,Ppp1r10,Ptbp1,Ptch1,Rara,Rps23,Rps29,Runx1t1,Sbk1,Smad7,Smc1a,Sox5,Sp1,Sp3,Srrm1,Ssbp2,Ssbp3,Tbl1xr1,Tgif1,Thra,Traf7,Trmt5,Tyro3,Ubc,Usp46,Uspl1,Xrcc5,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp524,Zfp532,Zfp568,Zfp668	limb.1122,limb.1133,limb.1180,limb.1187,limb.1222,limb.1223,limb.1230,limb.1242,limb.1288,limb.131,limb.1331,limb.1365,limb.1371,limb.1372,limb.1382,limb.1413,limb.1464,limb.1468,limb.1481,limb.1508,limb.1592,limb.1593,limb.1607,limb.1610,limb.168,limb.1785,limb.1790,limb.1795,limb.1810,limb.1826,limb.1883,limb.1896,limb.1899,limb.1904,limb.1905,limb.1931,limb.1948,limb.1949,limb.1973,limb.1974,limb.2010,limb.2026,limb.2101,limb.2105,limb.212,limb.227,limb.235,limb.264,limb.269,limb.300,limb.343,limb.399,limb.426,limb.429,limb.453,limb.48,limb.520,limb.537,limb.560,limb.615,limb.620,limb.672,limb.673,limb.690,limb.693,limb.697,limb.709,limb.755,limb.756,limb.757,limb.758,limb.779,limb.832,limb.842,limb.856,limb.892,limb.909,limb.930,limb.932,limb.969,limb.995,limb.996
GO:0044260	cellular macromolecule metabolic process	4	8	1.740561e-40	7.900408e-37	9.875510e-38	7.534641e+00	1.008674e+01	2105	76	4.791803e-03	3.610451e-02	24	2.573689e-06	1.168198e-02	4.867490e-04	1.614848e+00	4.582475e+01	17506	4558	176	74	4.204545e-01	1.623519e-02	Anp32a,Arid3a,Asxl1,Bcl11a,Cited2,Csnk1d,Cutl1,Ddr2,Dusp6,Edf1,Eed,Efna1,Fgd4,Fiz1,Gabpb1,Gtf2ird1,Hes1,Hmga1,Hnrpa3,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Hspa9,Jmjd3,Jund1,Klf2,Klf3,Lef1,Mrps18b,Myst3,Nedd4,Nfyc,Nuak1,Park2,Pcolce,Pgk1,Pim1,Pou6f1,Ppp1r10,Ptbp1,Ptch1,Rara,Rps23,Rps29,Runx1t1,Sbk1,Smad7,Smc1a,Sox5,Sp1,Sp3,Srrm1,Ssbp2,Ssbp3,Tbl1xr1,Tgif1,Thra,Traf7,Trmt5,Tyro3,Ubc,Usp46,Uspl1,Xrcc5,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp524,Zfp532,Zfp568,Zfp668	limb.1122,limb.1133,limb.1180,limb.1222,limb.1223,limb.1230,limb.1242,limb.1288,limb.131,limb.1331,limb.1365,limb.1371,limb.1372,limb.1413,limb.1464,limb.1468,limb.1481,limb.1508,limb.1592,limb.1593,limb.1607,limb.1610,limb.168,limb.1785,limb.1790,limb.1795,limb.1810,limb.1826,limb.1883,limb.1896,limb.1899,limb.1904,limb.1905,limb.1931,limb.1948,limb.1949,limb.1974,limb.2010,limb.2026,limb.2101,limb.2105,limb.212,limb.227,limb.235,limb.264,limb.269,limb.300,limb.343,limb.399,limb.429,limb.453,limb.48,limb.520,limb.537,limb.560,limb.615,limb.620,limb.672,limb.690,limb.693,limb.697,limb.709,limb.755,limb.756,limb.757,limb.758,limb.832,limb.842,limb.856,limb.892,limb.909,limb.930,limb.932,limb.969,limb.995,limb.996
GO:0043170	macromolecule metabolic process	3	9	3.834780e-40	1.740607e-36	1.934007e-37	7.445430e+00	1.020760e+01	2105	76	4.849218e-03	3.610451e-02	28	4.456993e-06	2.023029e-02	7.225104e-04	1.592488e+00	4.646818e+01	17506	4622	176	74	4.204545e-01	1.601039e-02	Anp32a,Arid3a,Asxl1,Bcl11a,Cited2,Csnk1d,Cutl1,Ddr2,Dusp6,Edf1,Eed,Efna1,Fgd4,Fiz1,Gabpb1,Gtf2ird1,Hes1,Hmga1,Hnrpa3,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Hspa9,Jmjd3,Jund1,Klf2,Klf3,Lef1,Mrps18b,Myst3,Nedd4,Nfyc,Nuak1,Park2,Pcolce,Pgk1,Pim1,Pou6f1,Ppp1r10,Ptbp1,Ptch1,Rara,Rps23,Rps29,Runx1t1,Sbk1,Smad7,Smc1a,Sox5,Sp1,Sp3,Srrm1,Ssbp2,Ssbp3,Tbl1xr1,Tgif1,Thra,Traf7,Trmt5,Tyro3,Ubc,Usp46,Uspl1,Xrcc5,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp524,Zfp532,Zfp568,Zfp668	limb.1122,limb.1133,limb.1180,limb.1222,limb.1223,limb.1230,limb.1242,limb.1288,limb.131,limb.1331,limb.1365,limb.1371,limb.1372,limb.1413,limb.1464,limb.1468,limb.1481,limb.1508,limb.1592,limb.1593,limb.1607,limb.1610,limb.168,limb.1785,limb.1790,limb.1795,limb.1810,limb.1826,limb.1883,limb.1896,limb.1899,limb.1904,limb.1905,limb.1931,limb.1948,limb.1949,limb.1974,limb.2010,limb.2026,limb.2101,limb.2105,limb.212,limb.227,limb.235,limb.264,limb.269,limb.300,limb.343,limb.399,limb.429,limb.453,limb.48,limb.520,limb.537,limb.560,limb.615,limb.620,limb.672,limb.690,limb.693,limb.697,limb.709,limb.755,limb.756,limb.757,limb.758,limb.832,limb.842,limb.856,limb.892,limb.909,limb.930,limb.932,limb.969,limb.995,limb.996
GO:0034960	cellular biopolymer metabolic process	5	10	4.964260e-40	2.253278e-36	2.253278e-37	7.550550e+00	9.933051e+00	2105	75	4.718789e-03	3.562945e-02	25	2.602237e-06	1.181155e-02	4.724621e-04	1.623298e+00	4.497018e+01	17506	4473	176	73	4.147727e-01	1.632014e-02	Anp32a,Arid3a,Asxl1,Bcl11a,Cited2,Csnk1d,Cutl1,Ddr2,Dusp6,Edf1,Eed,Efna1,Fgd4,Fiz1,Gabpb1,Gtf2ird1,Hes1,Hmga1,Hnrpa3,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Hspa9,Jmjd3,Jund1,Klf2,Klf3,Lef1,Mrps18b,Myst3,Nedd4,Nfyc,Nuak1,Park2,Pcolce,Pim1,Pou6f1,Ppp1r10,Ptbp1,Ptch1,Rara,Rps23,Rps29,Runx1t1,Sbk1,Smad7,Smc1a,Sox5,Sp1,Sp3,Srrm1,Ssbp2,Ssbp3,Tbl1xr1,Tgif1,Thra,Traf7,Trmt5,Tyro3,Ubc,Usp46,Uspl1,Xrcc5,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp524,Zfp532,Zfp568,Zfp668	limb.1122,limb.1133,limb.1180,limb.1222,limb.1223,limb.1230,limb.1242,limb.1288,limb.131,limb.1331,limb.1365,limb.1371,limb.1372,limb.1413,limb.1464,limb.1468,limb.1481,limb.1508,limb.1592,limb.1593,limb.1607,limb.1610,limb.168,limb.1785,limb.1790,limb.1795,limb.1810,limb.1826,limb.1883,limb.1896,limb.1899,limb.1904,limb.1905,limb.1931,limb.1948,limb.1949,limb.1974,limb.2010,limb.2026,limb.2105,limb.212,limb.227,limb.235,limb.264,limb.269,limb.300,limb.343,limb.399,limb.429,limb.453,limb.48,limb.520,limb.537,limb.560,limb.615,limb.620,limb.672,limb.690,limb.693,limb.697,limb.709,limb.755,limb.756,limb.757,limb.758,limb.832,limb.842,limb.856,limb.892,limb.909,limb.930,limb.932,limb.969,limb.995,limb.996
