# GREAT Version 5.03
# Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension
# Significance tests required to pass thresholds: both
# Raw P-val tolerated: 5.000000e-02
# Annotation count range: [1, -1]
# DAG level range: [1, -1]
# Tests performed: 686
# ID	Desc	DAGLvl	BRank	BPval	BBonf	BFDR	BFold	BExp	Bn	Bk	BProb	RegionSetCov	HRank	HPval	HBonf	HFDR	HFold	HExp	HN	HK	Hn	Hk	GeneSetCov	TermGeneCov	Genes	Regions
GO:0005622	intracellular	4	1	1.046065e-60	7.176003e-58	7.176003e-58	6.748811e+00	1.852178e+01	2105	125	8.798946e-03	5.938242e-02	6	1.857736e-07	1.274407e-04	2.124011e-05	1.375569e+00	8.941757e+01	17506	8894	176	123	6.988636e-01	1.382955e-02	2810030E01Rik,4921513D23Rik,6430527G18Rik,Aacs,Anp32a,Arg1,Arid1a,Arid3a,Asxl1,BC004728,Bcl11a,Capza2,Ccdc50,Ccnd2,Cited2,Csnk1d,Ctdsp2,Cutl1,Cxxc4,D1Bwg1363e,Ddit4,Dnahc2,Dusp6,Ect2,Edf1,Eed,Elovl6,Fgd4,Fiz1,Fos,Gabpb1,Gcs1,Gli2,Gtf2ird1,Hes1,Hist1h2ag,Hist1h2bj,Hmga1,Hmgb2,Hnrpa3,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Hspa9,Id2,Id3,Id4,Ier2,Irs1,Jmjd3,Jub,Jund1,Klf2,Klf3,Kpnb1,Lef1,Marcks,Mbnl2,Mgea5,Mllt10,Mrg1,Mrps18b,Mtx1,Myst3,Ndufs3,Nedd4,Nfyc,Nup43,Park2,Pdgfc,Pgk1,Picalm,Pik3r3,Pim1,Pitpnc1,Plekhh3,Pou6f1,Ppox,Ppp1r10,Ptbp1,Pthr1,Rab34,Rara,Rps23,Rps29,Rtkn,Runx1t1,Sbk1,Smad7,Smarca2,Smc1a,Smtn,Sox12,Sox5,Sp1,Sp3,Srgap2,Srrm1,Ssbp2,Ssbp3,Tbl1xr1,Tgif1,Thra,Timm10,Tmed10,Tnpo1,Traf7,Trim37,Trmt5,Ubc,Vdac1,Xrcc5,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp524,Zfp532,Zfp568,Zfp608,Zfp668	limb.1008,limb.1122,limb.1133,limb.1157,limb.1171,limb.1180,limb.1187,limb.1195,limb.1210,limb.1222,limb.1223,limb.1242,limb.1273,limb.1277,limb.1288,limb.1313,limb.132,limb.1331,limb.1332,limb.1343,limb.1357,limb.1365,limb.1366,limb.1371,limb.1372,limb.1376,limb.1382,limb.1413,limb.1431,limb.1464,limb.1468,limb.1481,limb.1485,limb.1487,limb.1492,limb.1508,limb.1520,limb.1548,limb.1607,limb.1610,limb.1618,limb.166,limb.168,limb.1690,limb.1724,limb.1785,limb.1786,limb.1790,limb.1795,limb.1805,limb.1810,limb.1819,limb.1826,limb.1883,limb.1896,limb.1899,limb.1904,limb.1905,limb.1931,limb.1948,limb.1949,limb.1974,limb.1988,limb.2010,limb.2026,limb.2057,limb.2071,limb.2101,limb.2105,limb.212,limb.227,limb.235,limb.240,limb.241,limb.257,limb.269,limb.293,limb.300,limb.343,limb.345,limb.388,limb.398,limb.426,limb.429,limb.432,limb.453,limb.48,limb.520,limb.528,limb.537,limb.54,limb.557,limb.560,limb.562,limb.563,limb.615,limb.63,limb.672,limb.673,limb.690,limb.693,limb.722,limb.755,limb.756,limb.757,limb.758,limb.779,limb.780,limb.81,limb.82,limb.820,limb.821,limb.832,limb.842,limb.85,limb.856,limb.892,limb.893,limb.909,limb.930,limb.932,limb.969,limb.991,limb.995,limb.996
GO:0044464	cell part	3	2	1.251677e-60	8.586505e-58	4.293252e-58	5.539039e+00	2.653890e+01	2105	147	1.260755e-02	6.983373e-02	32	2.813185e-02	1.000000e+00	6.030765e-01	1.080588e+00	1.351116e+02	17506	13439	176	146	8.295455e-01	1.086390e-02	2810030E01Rik,4921513D23Rik,4933434I06Rik,6430527G18Rik,A230078I05Rik,Aacs,Anp32a,Arg1,Arid1a,Arid3a,Asxl1,BC004728,BC063749,Bcl11a,Capza2,Ccdc50,Ccnd2,Cited2,Cmklr1,Cmtm8,Csnk1d,Ctdsp2,Cutl1,Cxxc4,D1Bwg1363e,Ddit4,Ddr2,Dnahc2,Dusp6,Ect2,Edf1,Eed,Efna1,Elovl6,Fgd4,Fiz1,Fos,Fzd7,Gabpb1,Gas1,Gcs1,Gli2,Greb1,Gtf2ird1,Hes1,Hist1h2ag,Hist1h2bj,Hmga1,Hmgb2,Hnrpa3,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Hspa9,Id2,Id3,Id4,Ier2,Irs1,Jmjd3,Jub,Jund1,Kctd15,Klf2,Klf3,Kpnb1,Lef1,Marcks,Mbnl2,Mgea5,Mllt10,Mrc2,Mrg1,Mrps18b,Mtx1,Myst3,Nck2,Ndufs3,Nedd4,Nfyc,Nup43,Park2,Pcdh18,Pdgfc,Pgk1,Picalm,Pik3r3,Pim1,Pitpnc1,Plekhh3,Plxdc2,Pou6f1,Ppox,Ppp1r10,Ptbp1,Ptch1,Pthr1,Rab34,Rara,Rps23,Rps29,Rtkn,Runx1t1,Sbk1,Sema6a,Serinc2,Slc38a6,Slc39a10,Smad7,Smarca2,Smc1a,Smtn,Sox12,Sox5,Sp1,Sp3,Srgap2,Srrm1,Ssbp2,Ssbp3,Svopl,Tbl1xr1,Tgif1,Thra,Timm10,Tmed10,Tmem47,Tnpo1,Traf7,Trim37,Trmt5,Tyro3,Ubc,Vdac1,Xrcc5,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp524,Zfp532,Zfp568,Zfp608,Zfp668	limb.1008,limb.1122,limb.1133,limb.1157,limb.1158,limb.1171,limb.1180,limb.1187,limb.1195,limb.1210,limb.1222,limb.1223,limb.1242,limb.1273,limb.1277,limb.1288,limb.131,limb.1313,limb.132,limb.1331,limb.1332,limb.1343,limb.1357,limb.1365,limb.1366,limb.1371,limb.1372,limb.1376,limb.1380,limb.1382,limb.1413,limb.1429,limb.1431,limb.1464,limb.1468,limb.1481,limb.1485,limb.1487,limb.1492,limb.1508,limb.1520,limb.1548,limb.1580,limb.1592,limb.1593,limb.1607,limb.161,limb.1610,limb.1618,limb.166,limb.167,limb.168,limb.1690,limb.1724,limb.1785,limb.1786,limb.1790,limb.1795,limb.1805,limb.1810,limb.1819,limb.1826,limb.1883,limb.1896,limb.1899,limb.1904,limb.1905,limb.1931,limb.1948,limb.1949,limb.1974,limb.1980,limb.1988,limb.2010,limb.2026,limb.2057,limb.2071,limb.2072,limb.2097,limb.2101,limb.2105,limb.212,limb.22,limb.227,limb.235,limb.240,limb.241,limb.257,limb.26,limb.264,limb.269,limb.293,limb.300,limb.34,limb.343,limb.345,limb.368,limb.388,limb.398,limb.399,limb.426,limb.429,limb.432,limb.453,limb.48,limb.520,limb.528,limb.537,limb.54,limb.549,limb.557,limb.560,limb.562,limb.563,limb.615,limb.63,limb.661,limb.672,limb.673,limb.690,limb.693,limb.722,limb.744,limb.755,limb.756,limb.757,limb.758,limb.779,limb.780,limb.81,limb.82,limb.820,limb.821,limb.832,limb.842,limb.85,limb.856,limb.857,limb.892,limb.893,limb.909,limb.930,limb.932,limb.969,limb.991,limb.995,limb.996
GO:0044424	intracellular part	4	3	1.666216e-58	1.143024e-55	3.810080e-56	6.706869e+00	1.804121e+01	2105	121	8.570644e-03	5.748219e-02	7	6.274431e-07	4.304260e-04	6.148942e-05	1.370911e+00	8.680361e+01	17506	8634	176	119	6.761364e-01	1.378272e-02	2810030E01Rik,4921513D23Rik,6430527G18Rik,Aacs,Anp32a,Arg1,Arid1a,Arid3a,Asxl1,BC004728,Bcl11a,Capza2,Ccdc50,Ccnd2,Cited2,Csnk1d,Ctdsp2,Cutl1,Cxxc4,D1Bwg1363e,Ddit4,Dnahc2,Dusp6,Edf1,Eed,Elovl6,Fgd4,Fiz1,Fos,Gabpb1,Gcs1,Gli2,Gtf2ird1,Hes1,Hist1h2ag,Hist1h2bj,Hmga1,Hmgb2,Hnrpa3,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Hspa9,Id2,Id3,Id4,Ier2,Irs1,Jmjd3,Jub,Jund1,Klf2,Klf3,Kpnb1,Lef1,Marcks,Mbnl2,Mgea5,Mllt10,Mrg1,Mrps18b,Mtx1,Myst3,Ndufs3,Nedd4,Nfyc,Nup43,Park2,Pdgfc,Pgk1,Picalm,Pik3r3,Pim1,Pitpnc1,Plekhh3,Pou6f1,Ppox,Ppp1r10,Ptbp1,Rab34,Rara,Rps23,Rps29,Runx1t1,Sbk1,Smad7,Smarca2,Smc1a,Smtn,Sox12,Sox5,Sp1,Sp3,Srgap2,Srrm1,Ssbp2,Ssbp3,Tbl1xr1,Tgif1,Thra,Timm10,Tmed10,Tnpo1,Traf7,Trim37,Trmt5,Ubc,Vdac1,Xrcc5,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp524,Zfp532,Zfp568,Zfp668	limb.1008,limb.1122,limb.1133,limb.1171,limb.1180,limb.1187,limb.1195,limb.1210,limb.1222,limb.1223,limb.1242,limb.1273,limb.1277,limb.1288,limb.1313,limb.132,limb.1331,limb.1332,limb.1343,limb.1357,limb.1365,limb.1366,limb.1371,limb.1372,limb.1376,limb.1382,limb.1413,limb.1431,limb.1464,limb.1468,limb.1481,limb.1485,limb.1487,limb.1492,limb.1508,limb.1520,limb.1548,limb.1607,limb.1610,limb.1618,limb.166,limb.168,limb.1690,limb.1724,limb.1785,limb.1786,limb.1790,limb.1795,limb.1805,limb.1810,limb.1819,limb.1826,limb.1883,limb.1896,limb.1899,limb.1904,limb.1905,limb.1931,limb.1948,limb.1949,limb.1974,limb.2010,limb.2026,limb.2057,limb.2071,limb.2101,limb.2105,limb.212,limb.227,limb.235,limb.240,limb.241,limb.257,limb.269,limb.293,limb.300,limb.343,limb.388,limb.398,limb.426,limb.429,limb.432,limb.453,limb.48,limb.520,limb.528,limb.537,limb.54,limb.557,limb.560,limb.562,limb.563,limb.615,limb.63,limb.672,limb.673,limb.690,limb.693,limb.722,limb.755,limb.756,limb.757,limb.758,limb.779,limb.81,limb.82,limb.820,limb.821,limb.832,limb.842,limb.85,limb.856,limb.892,limb.893,limb.909,limb.930,limb.932,limb.969,limb.991,limb.995,limb.996
GO:0043226	organelle	2	4	4.041032e-56	2.772148e-53	6.930370e-54	7.187892e+00	1.530351e+01	2105	110	7.270078e-03	5.225653e-02	2	6.679527e-08	4.582155e-05	2.291078e-05	1.481699e+00	7.288930e+01	17506	7250	176	108	6.136364e-01	1.489655e-02	2810030E01Rik,4921513D23Rik,6430527G18Rik,Anp32a,Arid1a,Arid3a,Asxl1,BC004728,Bcl11a,Capza2,Ccnd2,Cited2,Ctdsp2,Cutl1,Cxxc4,D1Bwg1363e,Dnahc2,Edf1,Eed,Elovl6,Fgd4,Fiz1,Fos,Gabpb1,Gcs1,Gli2,Gtf2ird1,Hes1,Hist1h2ag,Hist1h2bj,Hmga1,Hmgb2,Hnrpa3,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Hspa9,Id2,Id3,Id4,Irs1,Jmjd3,Jub,Jund1,Klf2,Klf3,Kpnb1,Lef1,Marcks,Mbnl2,Mgea5,Mllt10,Mrg1,Mrps18b,Mtx1,Myst3,Nck2,Ndufs3,Nfyc,Nup43,Park2,Pdgfc,Picalm,Pim1,Pitpnc1,Plekhh3,Pou6f1,Ppox,Ppp1r10,Ptbp1,Rab34,Rara,Rps23,Rps29,Runx1t1,Smad7,Smarca2,Smc1a,Smtn,Sox12,Sox5,Sp1,Sp3,Srgap2,Srrm1,Ssbp2,Ssbp3,Tbl1xr1,Tgif1,Thra,Timm10,Tmed10,Tnpo1,Traf7,Trim37,Ubc,Vdac1,Xrcc5,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp524,Zfp532,Zfp568,Zfp668	limb.1122,limb.1171,limb.1180,limb.1195,limb.1222,limb.1223,limb.1273,limb.1277,limb.1288,limb.1313,limb.132,limb.1331,limb.1332,limb.1343,limb.1357,limb.1365,limb.1366,limb.1371,limb.1372,limb.1376,limb.1382,limb.1431,limb.1464,limb.1481,limb.1485,limb.1487,limb.1492,limb.1508,limb.1520,limb.1548,limb.1607,limb.1610,limb.1618,limb.166,limb.168,limb.1690,limb.1724,limb.1785,limb.1786,limb.1790,limb.1795,limb.1805,limb.1810,limb.1826,limb.1883,limb.1896,limb.1899,limb.1904,limb.1905,limb.1931,limb.1948,limb.1949,limb.1974,limb.2010,limb.2026,limb.2057,limb.2071,limb.2105,limb.212,limb.22,limb.227,limb.235,limb.240,limb.241,limb.257,limb.269,limb.293,limb.300,limb.343,limb.388,limb.398,limb.426,limb.429,limb.432,limb.453,limb.48,limb.520,limb.537,limb.54,limb.557,limb.560,limb.562,limb.563,limb.615,limb.63,limb.672,limb.690,limb.693,limb.722,limb.755,limb.756,limb.757,limb.758,limb.779,limb.81,limb.82,limb.820,limb.821,limb.832,limb.842,limb.85,limb.856,limb.892,limb.893,limb.909,limb.932,limb.969,limb.991,limb.995,limb.996
GO:0043229	intracellular organelle	3	5	2.882596e-55	1.977461e-52	3.954922e-53	7.126688e+00	1.529462e+01	2105	109	7.265854e-03	5.178147e-02	4	1.456556e-07	9.991974e-05	2.497994e-05	1.468993e+00	7.283903e+01	17506	7245	176	107	6.079545e-01	1.476881e-02	2810030E01Rik,4921513D23Rik,6430527G18Rik,Anp32a,Arid1a,Arid3a,Asxl1,BC004728,Bcl11a,Capza2,Ccnd2,Cited2,Ctdsp2,Cutl1,Cxxc4,D1Bwg1363e,Dnahc2,Edf1,Eed,Elovl6,Fgd4,Fiz1,Fos,Gabpb1,Gcs1,Gli2,Gtf2ird1,Hes1,Hist1h2ag,Hist1h2bj,Hmga1,Hmgb2,Hnrpa3,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Hspa9,Id2,Id3,Id4,Irs1,Jmjd3,Jub,Jund1,Klf2,Klf3,Kpnb1,Lef1,Marcks,Mbnl2,Mgea5,Mllt10,Mrg1,Mrps18b,Mtx1,Myst3,Ndufs3,Nfyc,Nup43,Park2,Pdgfc,Picalm,Pim1,Pitpnc1,Plekhh3,Pou6f1,Ppox,Ppp1r10,Ptbp1,Rab34,Rara,Rps23,Rps29,Runx1t1,Smad7,Smarca2,Smc1a,Smtn,Sox12,Sox5,Sp1,Sp3,Srgap2,Srrm1,Ssbp2,Ssbp3,Tbl1xr1,Tgif1,Thra,Timm10,Tmed10,Tnpo1,Traf7,Trim37,Ubc,Vdac1,Xrcc5,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp524,Zfp532,Zfp568,Zfp668	limb.1122,limb.1171,limb.1180,limb.1195,limb.1222,limb.1223,limb.1273,limb.1277,limb.1288,limb.1313,limb.132,limb.1331,limb.1332,limb.1343,limb.1357,limb.1365,limb.1366,limb.1371,limb.1372,limb.1376,limb.1382,limb.1431,limb.1464,limb.1481,limb.1485,limb.1487,limb.1492,limb.1508,limb.1520,limb.1548,limb.1607,limb.1610,limb.1618,limb.166,limb.168,limb.1690,limb.1724,limb.1785,limb.1786,limb.1790,limb.1795,limb.1805,limb.1810,limb.1826,limb.1883,limb.1896,limb.1899,limb.1904,limb.1905,limb.1931,limb.1948,limb.1949,limb.1974,limb.2010,limb.2026,limb.2057,limb.2071,limb.2105,limb.212,limb.227,limb.235,limb.240,limb.241,limb.257,limb.269,limb.293,limb.300,limb.343,limb.388,limb.398,limb.426,limb.429,limb.432,limb.453,limb.48,limb.520,limb.537,limb.54,limb.557,limb.560,limb.562,limb.563,limb.615,limb.63,limb.672,limb.690,limb.693,limb.722,limb.755,limb.756,limb.757,limb.758,limb.779,limb.81,limb.82,limb.820,limb.821,limb.832,limb.842,limb.85,limb.856,limb.892,limb.893,limb.909,limb.932,limb.969,limb.991,limb.995,limb.996
GO:0043227	membrane-bounded organelle	3	6	1.112333e-52	7.630605e-50	1.271768e-50	7.392770e+00	1.366200e+01	2105	101	6.490260e-03	4.798100e-02	3	8.403439e-08	5.764759e-05	1.921586e-05	1.535016e+00	6.449446e+01	17506	6415	176	99	5.625000e-01	1.543258e-02	2810030E01Rik,4921513D23Rik,6430527G18Rik,Anp32a,Arid1a,Arid3a,Asxl1,Bcl11a,Ccnd2,Cited2,Ctdsp2,Cutl1,Cxxc4,D1Bwg1363e,Edf1,Eed,Elovl6,Fiz1,Fos,Gabpb1,Gcs1,Gli2,Gtf2ird1,Hes1,Hist1h2ag,Hist1h2bj,Hmga1,Hmgb2,Hnrpa3,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Hspa9,Id2,Id3,Id4,Irs1,Jmjd3,Jub,Jund1,Klf2,Klf3,Kpnb1,Lef1,Marcks,Mbnl2,Mgea5,Mllt10,Mrg1,Mrps18b,Mtx1,Myst3,Nck2,Ndufs3,Nfyc,Nup43,Park2,Pdgfc,Picalm,Pim1,Pitpnc1,Pou6f1,Ppox,Ppp1r10,Ptbp1,Rab34,Rara,Runx1t1,Smad7,Smarca2,Smc1a,Sox12,Sox5,Sp1,Sp3,Srgap2,Srrm1,Ssbp2,Ssbp3,Tbl1xr1,Tgif1,Thra,Timm10,Tmed10,Tnpo1,Trim37,Ubc,Vdac1,Xrcc5,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp524,Zfp532,Zfp568,Zfp668	limb.1122,limb.1171,limb.1180,limb.1195,limb.1222,limb.1223,limb.1273,limb.1288,limb.1313,limb.132,limb.1331,limb.1343,limb.1357,limb.1365,limb.1366,limb.1371,limb.1372,limb.1382,limb.1431,limb.1481,limb.1485,limb.1487,limb.1492,limb.1508,limb.1520,limb.1548,limb.1610,limb.1618,limb.166,limb.168,limb.1690,limb.1724,limb.1785,limb.1790,limb.1795,limb.1805,limb.1826,limb.1883,limb.1899,limb.1904,limb.1905,limb.1931,limb.1948,limb.1949,limb.1974,limb.2010,limb.2026,limb.2057,limb.2071,limb.2105,limb.212,limb.22,limb.227,limb.235,limb.240,limb.241,limb.257,limb.269,limb.293,limb.300,limb.343,limb.388,limb.398,limb.426,limb.429,limb.432,limb.453,limb.48,limb.520,limb.537,limb.54,limb.557,limb.560,limb.562,limb.563,limb.615,limb.63,limb.672,limb.690,limb.693,limb.755,limb.756,limb.757,limb.758,limb.779,limb.81,limb.82,limb.820,limb.821,limb.832,limb.842,limb.85,limb.856,limb.892,limb.893,limb.909,limb.932,limb.969,limb.991,limb.995,limb.996
GO:0043231	intracellular membrane-bounded organelle	4	7	7.686058e-52	5.272636e-49	7.532337e-50	7.328932e+00	1.364455e+01	2105	100	6.481973e-03	4.750594e-02	5	1.782981e-07	1.223125e-04	2.446250e-05	1.521170e+00	6.442408e+01	17506	6408	176	98	5.568182e-01	1.529338e-02	2810030E01Rik,4921513D23Rik,6430527G18Rik,Anp32a,Arid1a,Arid3a,Asxl1,Bcl11a,Ccnd2,Cited2,Ctdsp2,Cutl1,Cxxc4,D1Bwg1363e,Edf1,Eed,Elovl6,Fiz1,Fos,Gabpb1,Gcs1,Gli2,Gtf2ird1,Hes1,Hist1h2ag,Hist1h2bj,Hmga1,Hmgb2,Hnrpa3,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Hspa9,Id2,Id3,Id4,Irs1,Jmjd3,Jub,Jund1,Klf2,Klf3,Kpnb1,Lef1,Marcks,Mbnl2,Mgea5,Mllt10,Mrg1,Mrps18b,Mtx1,Myst3,Ndufs3,Nfyc,Nup43,Park2,Pdgfc,Picalm,Pim1,Pitpnc1,Pou6f1,Ppox,Ppp1r10,Ptbp1,Rab34,Rara,Runx1t1,Smad7,Smarca2,Smc1a,Sox12,Sox5,Sp1,Sp3,Srgap2,Srrm1,Ssbp2,Ssbp3,Tbl1xr1,Tgif1,Thra,Timm10,Tmed10,Tnpo1,Trim37,Ubc,Vdac1,Xrcc5,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp524,Zfp532,Zfp568,Zfp668	limb.1122,limb.1171,limb.1180,limb.1195,limb.1222,limb.1223,limb.1273,limb.1288,limb.1313,limb.132,limb.1331,limb.1343,limb.1357,limb.1365,limb.1366,limb.1371,limb.1372,limb.1382,limb.1431,limb.1481,limb.1485,limb.1487,limb.1492,limb.1508,limb.1520,limb.1548,limb.1610,limb.1618,limb.166,limb.168,limb.1690,limb.1724,limb.1785,limb.1790,limb.1795,limb.1805,limb.1826,limb.1883,limb.1899,limb.1904,limb.1905,limb.1931,limb.1948,limb.1949,limb.1974,limb.2010,limb.2026,limb.2057,limb.2071,limb.2105,limb.212,limb.227,limb.235,limb.240,limb.241,limb.257,limb.269,limb.293,limb.300,limb.343,limb.388,limb.398,limb.426,limb.429,limb.432,limb.453,limb.48,limb.520,limb.537,limb.54,limb.557,limb.560,limb.562,limb.563,limb.615,limb.63,limb.672,limb.690,limb.693,limb.755,limb.756,limb.757,limb.758,limb.779,limb.81,limb.82,limb.820,limb.821,limb.832,limb.842,limb.85,limb.856,limb.892,limb.893,limb.909,limb.932,limb.969,limb.991,limb.995,limb.996
GO:0005634	nucleus	5	8	6.927914e-50	4.752549e-47	5.940686e-48	8.874264e+00	9.465574e+00	2105	84	4.496710e-03	3.990499e-02	1	1.070590e-11	7.344246e-09	7.344246e-09	2.007160e+00	4.035554e+01	17506	4014	176	81	4.602273e-01	2.017937e-02	2810030E01Rik,6430527G18Rik,Anp32a,Arid1a,Arid3a,Asxl1,Bcl11a,Ccnd2,Cited2,Ctdsp2,Cutl1,Edf1,Eed,Fiz1,Fos,Gabpb1,Gli2,Gtf2ird1,Hes1,Hist1h2ag,Hist1h2bj,Hmga1,Hmgb2,Hnrpa3,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Id2,Id3,Id4,Irs1,Jmjd3,Jub,Jund1,Klf2,Klf3,Kpnb1,Lef1,Marcks,Mbnl2,Mgea5,Mllt10,Mrg1,Myst3,Nfyc,Nup43,Park2,Pdgfc,Pim1,Pitpnc1,Pou6f1,Ppp1r10,Ptbp1,Rara,Runx1t1,Smad7,Smarca2,Smc1a,Sox12,Sox5,Sp1,Sp3,Srrm1,Ssbp2,Ssbp3,Tbl1xr1,Tgif1,Thra,Tnpo1,Ubc,Xrcc5,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp524,Zfp532,Zfp568,Zfp668	limb.1122,limb.1171,limb.1180,limb.1195,limb.1222,limb.1223,limb.1273,limb.1288,limb.1331,limb.1365,limb.1366,limb.1371,limb.1372,limb.1382,limb.1431,limb.1481,limb.1487,limb.1492,limb.1508,limb.1520,limb.1548,limb.1610,limb.1618,limb.166,limb.168,limb.1690,limb.1724,limb.1785,limb.1790,limb.1795,limb.1826,limb.1883,limb.1899,limb.1904,limb.1905,limb.1931,limb.1948,limb.1949,limb.2010,limb.2026,limb.2057,limb.2071,limb.2105,limb.212,limb.227,limb.235,limb.257,limb.269,limb.293,limb.300,limb.343,limb.388,limb.429,limb.453,limb.48,limb.520,limb.537,limb.557,limb.560,limb.562,limb.563,limb.615,limb.63,limb.672,limb.690,limb.693,limb.755,limb.756,limb.757,limb.758,limb.81,limb.82,limb.820,limb.821,limb.832,limb.842,limb.856,limb.892,limb.909,limb.932,limb.969,limb.991,limb.995,limb.996
GO:0044422	organelle part	3	10	7.805233e-22	5.354390e-19	5.354390e-20	7.991660e+00	4.754957e+00	2105	38	2.258887e-03	1.805226e-02	8	1.440629e-03	9.882712e-01	1.235339e-01	1.644432e+00	2.250017e+01	17506	2238	176	37	2.102273e-01	1.653262e-02	Anp32a,Arid1a,Capza2,Cited2,Cutl1,D1Bwg1363e,Dnahc2,Eed,Elovl6,Fos,Hist1h2ag,Hist1h2bj,Hmga1,Hnrpa3,Hoxa10,Hoxa11,Kpnb1,Lef1,Marcks,Mtx1,Myst3,Nck2,Ndufs3,Nfyc,Nup43,Ppox,Rps23,Rps29,Smad7,Smarca2,Srgap2,Srrm1,Timm10,Tmed10,Tnpo1,Vdac1,Yy1	limb.1122,limb.1171,limb.1180,limb.1195,limb.1313,limb.132,limb.1332,limb.1366,limb.1464,limb.1485,limb.1487,limb.1508,limb.1520,limb.1607,limb.1618,limb.1899,limb.2026,limb.2057,limb.22,limb.235,limb.240,limb.241,limb.398,limb.426,limb.429,limb.537,limb.54,limb.557,limb.560,limb.693,limb.722,limb.755,limb.756,limb.757,limb.758,limb.85,limb.892,limb.969
GO:0044446	intracellular organelle part	4	11	5.066330e-21	3.475503e-18	3.159548e-19	7.835958e+00	4.721822e+00	2105	37	2.243146e-03	1.757720e-02	10	2.361448e-03	1.000000e+00	1.619953e-01	1.612961e+00	2.231920e+01	17506	2220	176	36	2.045455e-01	1.621622e-02	Anp32a,Arid1a,Capza2,Cited2,Cutl1,D1Bwg1363e,Dnahc2,Eed,Elovl6,Fos,Hist1h2ag,Hist1h2bj,Hmga1,Hnrpa3,Hoxa10,Hoxa11,Kpnb1,Lef1,Marcks,Mtx1,Myst3,Ndufs3,Nfyc,Nup43,Ppox,Rps23,Rps29,Smad7,Smarca2,Srgap2,Srrm1,Timm10,Tmed10,Tnpo1,Vdac1,Yy1	limb.1122,limb.1171,limb.1180,limb.1195,limb.1313,limb.132,limb.1332,limb.1366,limb.1464,limb.1485,limb.1487,limb.1508,limb.1520,limb.1607,limb.1618,limb.1899,limb.2026,limb.2057,limb.235,limb.240,limb.241,limb.398,limb.426,limb.429,limb.537,limb.54,limb.557,limb.560,limb.693,limb.722,limb.755,limb.756,limb.757,limb.758,limb.85,limb.892,limb.969
