# GREAT Version 5.03
# Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension
# Significance tests required to pass thresholds: both
# Raw P-val tolerated: 5.000000e-02
# Annotation count range: [1, -1]
# DAG level range: [1, -1]
# Tests performed: 2380
# ID	Desc	DAGLvl	BRank	BPval	BBonf	BFDR	BFold	BExp	Bn	Bk	BProb	RegionSetCov	HRank	HPval	HBonf	HFDR	HFold	HExp	HN	HK	Hn	Hk	GeneSetCov	TermGeneCov	Genes	Regions
GO:0005488	binding	2	1	1.693368e-61	4.030215e-58	4.030215e-58	6.344475e+00	2.096312e+01	2105	133	9.958728e-03	6.318290e-02	6	4.369910e-05	1.040039e-01	1.733398e-02	1.251825e+00	1.014518e+02	17506	10091	176	127	7.215909e-01	1.258547e-02	4921513D23Rik,4933434I06Rik,Anp32a,Arg1,Arid3a,Asxl1,Bahcc1,Bcl11a,Capza2,Ccnd2,Cited2,Cmtm8,Csnk1d,Cutl1,Cxxc4,D1Bwg1363e,Ddr2,Dnahc2,Dusp6,Ect2,Edf1,Eed,Emilin1,Fgd4,Fignl1,Fiz1,Fos,Gas1,Gli2,Gtf2ird1,Hes1,Hist1h2ag,Hist1h2bj,Hmga1,Hmgb2,Hnrpa3,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Hspa9,Id2,Id3,Id4,Irs1,Islr,Jmjd3,Jub,Jund1,Kbtbd4,Kctd15,Klf2,Klf3,Kpnb1,Lbp,Lef1,Marcks,Mbnl2,Mfap4,Mllt10,Mrc2,Mrg1,Myst3,Nedd4,Nfyc,Nme5,Nuak1,Park2,Pcdh18,Pdgfc,Pdxp,Pgk1,Picalm,Pik3r3,Pim1,Pitpnc1,Pou6f1,Ppp1r10,Ptbp1,Ptch1,Ptpru,Rab34,Rara,Rnf44,Rps29,Rtkn,Runx1t1,Sbk1,Sema6a,Slc39a10,Smad7,Smarca2,Smc1a,Smyd2,Sox12,Sox5,Sp1,Sp3,Srgap2,Srrm1,Ssbp2,Ssbp3,Tgif1,Thbs3,Thra,Timm10,Tnpo1,Traf7,Trim37,Tsku,Tyro3,Ubc,Uck2,Vdac1,Wbp1,Xrcc5,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp469,Zfp524,Zfp532,Zfp568,Zfp608,Zfp668	limb.1109,limb.1122,limb.1133,limb.1158,limb.1180,limb.1187,limb.1195,limb.1222,limb.1223,limb.1230,limb.1242,limb.1282,limb.1288,limb.130,limb.131,limb.1313,limb.1320,limb.1331,limb.1332,limb.1343,limb.1357,limb.1365,limb.1366,limb.1371,limb.1372,limb.1380,limb.1382,limb.1410,limb.1413,limb.1431,limb.1464,limb.1481,limb.1487,limb.1508,limb.151,limb.1520,limb.1548,limb.1560,limb.1580,limb.1592,limb.1593,limb.1610,limb.1618,limb.166,limb.167,limb.168,limb.1690,limb.1724,limb.1772,limb.1785,limb.1790,limb.1795,limb.1805,limb.1810,limb.1826,limb.1883,limb.1896,limb.1899,limb.1904,limb.1905,limb.1931,limb.1948,limb.1949,limb.1973,limb.1974,limb.1980,limb.1988,limb.2010,limb.2026,limb.2057,limb.2101,limb.2105,limb.212,limb.227,limb.235,limb.240,limb.241,limb.257,limb.26,limb.264,limb.293,limb.300,limb.305,limb.345,limb.368,limb.388,limb.398,limb.429,limb.432,limb.453,limb.48,limb.520,limb.528,limb.537,limb.54,limb.552,limb.560,limb.562,limb.563,limb.600,limb.615,limb.63,limb.672,limb.690,limb.693,limb.702,limb.703,limb.722,limb.755,limb.756,limb.757,limb.758,limb.779,limb.780,limb.81,limb.82,limb.820,limb.821,limb.832,limb.842,limb.85,limb.856,limb.857,limb.892,limb.893,limb.903,limb.909,limb.930,limb.932,limb.969,limb.991,limb.995,limb.996
GO:0003677	DNA binding	4	2	2.154014e-39	5.126554e-36	2.563277e-36	1.222940e+01	4.415587e+00	2105	54	2.097666e-03	2.565321e-02	1	4.588028e-13	1.091951e-09	1.091951e-09	3.021443e+00	1.654838e+01	17506	1646	176	50	2.840909e-01	3.037667e-02	Arid3a,Bahcc1,Cited2,Cutl1,Cxxc4,Edf1,Fos,Gli2,Gtf2ird1,Hes1,Hist1h2ag,Hist1h2bj,Hmga1,Hmgb2,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Jmjd3,Jund1,Klf2,Klf3,Lef1,Mrg1,Myst3,Nfyc,Pou6f1,Ppp1r10,Rara,Runx1t1,Smad7,Sox12,Sox5,Sp1,Sp3,Srrm1,Ssbp2,Ssbp3,Tgif1,Thra,Xrcc5,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp469,Zfp524,Zfp532,Zfp668	limb.1180,limb.1223,limb.1331,limb.1365,limb.1371,limb.1372,limb.1410,limb.1481,limb.1487,limb.1508,limb.1520,limb.1610,limb.168,limb.1785,limb.1790,limb.1795,limb.1826,limb.1899,limb.1905,limb.1931,limb.1948,limb.1949,limb.2010,limb.2026,limb.212,limb.227,limb.257,limb.293,limb.429,limb.432,limb.453,limb.48,limb.520,limb.537,limb.560,limb.615,limb.690,limb.693,limb.702,limb.703,limb.755,limb.756,limb.757,limb.758,limb.81,limb.82,limb.832,limb.842,limb.909,limb.932,limb.969,limb.991,limb.995,limb.996
GO:0005515	protein binding	3	3	4.956326e-39	1.179606e-35	3.932019e-36	6.923919e+00	1.126530e+01	2105	78	5.351685e-03	3.705463e-02	8	1.960016e-04	4.664838e-01	5.831047e-02	1.441535e+00	5.064047e+01	17506	5037	176	73	4.147727e-01	1.449275e-02	4933434I06Rik,Anp32a,Arid3a,Asxl1,Bcl11a,Capza2,Ccnd2,Cited2,Cmtm8,Dusp6,Ect2,Edf1,Eed,Emilin1,Fgd4,Fiz1,Fos,Gas1,Hoxa10,Hoxa11,Hspa9,Id2,Id3,Id4,Irs1,Islr,Jub,Jund1,Kbtbd4,Kctd15,Klf2,Kpnb1,Lbp,Lef1,Marcks,Mfap4,Mllt10,Mrc2,Myst3,Nedd4,Nfyc,Park2,Pcdh18,Pdgfc,Picalm,Pik3r3,Ppp1r10,Ptbp1,Ptch1,Ptpru,Rara,Rnf44,Rtkn,Runx1t1,Sbk1,Sema6a,Smad7,Smarca2,Smc1a,Sox5,Srgap2,Srrm1,Ssbp2,Tgif1,Thbs3,Thra,Timm10,Traf7,Trim37,Tsku,Tyro3,Ubc,Wbp1	limb.1109,limb.1122,limb.1133,limb.1158,limb.1180,limb.1195,limb.1222,limb.1223,limb.1242,limb.1288,limb.1320,limb.1357,limb.1366,limb.1371,limb.1372,limb.1380,limb.1431,limb.1487,limb.1548,limb.1560,limb.1580,limb.1592,limb.1593,limb.1610,limb.166,limb.167,limb.168,limb.1690,limb.1810,limb.1883,limb.1896,limb.1905,limb.1931,limb.1974,limb.1980,limb.2026,limb.2057,limb.2105,limb.240,limb.241,limb.264,limb.300,limb.305,limb.345,limb.368,limb.388,limb.398,limb.429,limb.453,limb.528,limb.537,limb.552,limb.560,limb.562,limb.563,limb.600,limb.63,limb.672,limb.722,limb.755,limb.756,limb.757,limb.758,limb.779,limb.780,limb.820,limb.821,limb.832,limb.842,limb.85,limb.857,limb.892,limb.893,limb.903,limb.930,limb.969,limb.995,limb.996
GO:0003676	nucleic acid binding	3	4	2.533777e-37	6.030389e-34	1.507597e-34	9.891000e+00	5.863917e+00	2105	58	2.785709e-03	2.755344e-02	3	6.391505e-10	1.521178e-06	5.070594e-07	2.328917e+00	2.361613e+01	17506	2349	176	55	3.125000e-01	2.341422e-02	4921513D23Rik,Arid3a,Bahcc1,Cited2,Cutl1,Cxxc4,Edf1,Fiz1,Fos,Gli2,Gtf2ird1,Hes1,Hist1h2ag,Hist1h2bj,Hmga1,Hmgb2,Hnrpa3,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Jmjd3,Jund1,Klf2,Klf3,Lef1,Mbnl2,Mrg1,Myst3,Nfyc,Pou6f1,Ppp1r10,Ptbp1,Rara,Runx1t1,Smad7,Sox12,Sox5,Sp1,Sp3,Srrm1,Ssbp2,Ssbp3,Tgif1,Thra,Xrcc5,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp469,Zfp524,Zfp532,Zfp668	limb.1180,limb.1222,limb.1223,limb.1331,limb.1365,limb.1371,limb.1372,limb.1410,limb.1481,limb.1487,limb.1508,limb.1520,limb.1610,limb.168,limb.1724,limb.1785,limb.1790,limb.1795,limb.1805,limb.1826,limb.1899,limb.1905,limb.1931,limb.1948,limb.1949,limb.2010,limb.2026,limb.212,limb.227,limb.235,limb.257,limb.293,limb.429,limb.432,limb.453,limb.48,limb.520,limb.537,limb.560,limb.615,limb.690,limb.693,limb.702,limb.703,limb.755,limb.756,limb.757,limb.758,limb.81,limb.82,limb.832,limb.842,limb.909,limb.932,limb.969,limb.991,limb.995,limb.996
GO:0030528	transcription regulator activity	2	5	8.927525e-29	2.124751e-25	4.249502e-26	1.272428e+01	2.986416e+00	2105	38	1.418725e-03	1.805226e-02	2	3.173257e-10	7.552351e-07	3.776176e-07	3.378462e+00	1.006375e+01	17506	1001	176	34	1.931818e-01	3.396603e-02	Arid3a,Bcl11a,Cited2,Cutl1,Fos,Gli2,Gtf2ird1,Hes1,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Id2,Id3,Id4,Jund1,Klf2,Lef1,Mrg1,Nfyc,Pou6f1,Ppp1r10,Rara,Runx1t1,Smad7,Sox5,Sp1,Sp3,Ssbp2,Ssbp3,Tgif1,Thra,Yy1	limb.1180,limb.1223,limb.1288,limb.1365,limb.1371,limb.1372,limb.1431,limb.1487,limb.1508,limb.1548,limb.1610,limb.1785,limb.1790,limb.1795,limb.1826,limb.1905,limb.1931,limb.2026,limb.212,limb.227,limb.257,limb.429,limb.453,limb.520,limb.537,limb.562,limb.563,limb.690,limb.693,limb.755,limb.756,limb.757,limb.758,limb.81,limb.82,limb.832,limb.995,limb.996
GO:0003700	transcription factor activity	3	6	1.090823e-23	2.596158e-20	4.326930e-21	1.429667e+01	2.028445e+00	2105	29	9.636318e-04	1.377672e-02	4	2.906633e-09	6.917786e-06	1.729447e-06	3.888893e+00	6.685708e+00	17506	665	176	26	1.477273e-01	3.909774e-02	Arid3a,Cited2,Cutl1,Fos,Gli2,Gtf2ird1,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Jund1,Klf2,Lef1,Mrg1,Nfyc,Pou6f1,Rara,Runx1t1,Smad7,Sox5,Sp1,Sp3,Tgif1,Thra,Yy1	limb.1180,limb.1223,limb.1365,limb.1371,limb.1372,limb.1487,limb.1508,limb.1785,limb.1790,limb.1795,limb.1931,limb.2026,limb.212,limb.227,limb.257,limb.429,limb.453,limb.537,limb.690,limb.693,limb.755,limb.756,limb.757,limb.758,limb.81,limb.82,limb.832,limb.995,limb.996
GO:0046872	metal ion binding	4	7	1.228937e-21	2.924870e-18	4.178386e-19	6.165992e+00	7.460276e+00	2105	46	3.544074e-03	2.185273e-02	52	3.875266e-02	1.000000e+00	1.000000e+00	1.285458e+00	3.500697e+01	17506	3482	176	45	2.556818e-01	1.292361e-02	Arg1,Asxl1,Bcl11a,Cxxc4,D1Bwg1363e,Fgd4,Fignl1,Fiz1,Jmjd3,Jub,Klf2,Klf3,Mbnl2,Mfap4,Mllt10,Mrc2,Myst3,Park2,Pcdh18,Pdxp,Pim1,Ppp1r10,Ptch1,Rara,Rnf44,Rps29,Runx1t1,Slc39a10,Smyd2,Sp1,Sp3,Thbs3,Thra,Timm10,Traf7,Trim37,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp524,Zfp532,Zfp568,Zfp608,Zfp668	limb.1187,limb.1282,limb.1288,limb.1320,limb.1331,limb.1357,limb.1371,limb.1372,limb.1380,limb.1464,limb.1481,limb.1508,limb.151,limb.1560,limb.1592,limb.1593,limb.166,limb.1690,limb.1724,limb.1772,limb.1790,limb.1810,limb.1883,limb.1896,limb.1904,limb.1905,limb.1948,limb.1949,limb.1988,limb.2010,limb.212,limb.240,limb.26,limb.300,limb.368,limb.398,limb.432,limb.453,limb.54,limb.615,limb.842,limb.856,limb.909,limb.932,limb.969,limb.996
GO:0046914	transition metal ion binding	5	8	1.638390e-21	3.899367e-18	4.874209e-19	7.543897e+00	5.169742e+00	2105	39	2.455934e-03	1.852732e-02	12	1.410042e-03	1.000000e+00	2.796584e-01	1.631997e+00	2.328436e+01	17506	2316	176	38	2.159091e-01	1.640760e-02	Arg1,Asxl1,Bcl11a,Cxxc4,Fgd4,Fiz1,Jmjd3,Jub,Klf2,Klf3,Mbnl2,Mllt10,Myst3,Park2,Pim1,Ppp1r10,Ptch1,Rara,Rnf44,Rps29,Runx1t1,Slc39a10,Smyd2,Sp1,Sp3,Thra,Timm10,Traf7,Trim37,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp524,Zfp532,Zfp568,Zfp608,Zfp668	limb.1187,limb.1288,limb.1331,limb.1357,limb.1371,limb.1372,limb.1464,limb.1481,limb.1508,limb.151,limb.1560,limb.1592,limb.1593,limb.166,limb.1690,limb.1724,limb.1790,limb.1810,limb.1883,limb.1896,limb.1904,limb.1905,limb.1948,limb.1949,limb.1988,limb.2010,limb.212,limb.240,limb.26,limb.300,limb.432,limb.453,limb.615,limb.842,limb.856,limb.909,limb.932,limb.969,limb.996
GO:0008270	zinc ion binding	6	10	4.157703e-21	9.895333e-18	9.895333e-19	8.192437e+00	4.394297e+00	2105	36	2.087552e-03	1.710214e-02	7	1.842278e-04	4.384621e-01	6.263744e-02	1.873685e+00	1.867977e+01	17506	1858	176	35	1.988636e-01	1.883746e-02	Asxl1,Bcl11a,Cxxc4,Fgd4,Fiz1,Jub,Klf2,Klf3,Mbnl2,Mllt10,Myst3,Park2,Ppp1r10,Ptch1,Rara,Rnf44,Rps29,Runx1t1,Slc39a10,Smyd2,Sp1,Sp3,Thra,Timm10,Traf7,Trim37,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp524,Zfp532,Zfp568,Zfp608,Zfp668	limb.1288,limb.1357,limb.1371,limb.1372,limb.1464,limb.1481,limb.1508,limb.151,limb.1560,limb.1592,limb.1593,limb.166,limb.1690,limb.1724,limb.1790,limb.1810,limb.1883,limb.1896,limb.1905,limb.1948,limb.1949,limb.1988,limb.2010,limb.212,limb.240,limb.26,limb.300,limb.432,limb.453,limb.615,limb.842,limb.856,limb.909,limb.932,limb.969,limb.996
GO:0043169	cation binding	4	11	1.718433e-20	4.089871e-17	3.718065e-18	6.231408e+00	6.900527e+00	2105	43	3.278160e-03	2.042755e-02	53	3.912660e-02	1.000000e+00	1.000000e+00	1.300208e+00	3.230252e+01	17506	3213	176	42	2.386364e-01	1.307190e-02	Arg1,Asxl1,Bcl11a,Cxxc4,Fgd4,Fiz1,Jmjd3,Jub,Klf2,Klf3,Mbnl2,Mfap4,Mllt10,Mrc2,Myst3,Park2,Pcdh18,Pim1,Ppp1r10,Ptch1,Rara,Rnf44,Rps29,Runx1t1,Slc39a10,Smyd2,Sp1,Sp3,Thbs3,Thra,Timm10,Traf7,Trim37,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp524,Zfp532,Zfp568,Zfp608,Zfp668	limb.1187,limb.1288,limb.1320,limb.1331,limb.1357,limb.1371,limb.1372,limb.1380,limb.1464,limb.1481,limb.1508,limb.151,limb.1560,limb.1592,limb.1593,limb.166,limb.1690,limb.1724,limb.1790,limb.1810,limb.1883,limb.1896,limb.1904,limb.1905,limb.1948,limb.1949,limb.1988,limb.2010,limb.212,limb.240,limb.26,limb.300,limb.368,limb.398,limb.432,limb.453,limb.615,limb.842,limb.856,limb.909,limb.932,limb.969,limb.996
