# GREAT Version 5.03
# Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension
# Significance tests required to pass thresholds: both
# Raw P-val tolerated: 5.000000e-02
# Annotation count range: [1, -1]
# DAG level range: [1, -1]
# Tests performed: 6766
# ID	Desc	DAGLvl	BRank	BPval	BBonf	BFDR	BFold	BExp	Bn	Bk	BProb	RegionSetCov	HRank	HPval	HBonf	HFDR	HFold	HExp	HN	HK	Hn	Hk	GeneSetCov	TermGeneCov	Genes	Regions
6937	Theiler_stage_28	1	1	7.599547e-50	5.141853e-46	5.141853e-46	7.336122e+00	1.308593e+01	2105	96	6.216596e-03	4.560570e-02	65	1.925339e-06	1.302684e-02	2.004129e-04	1.510660e+00	5.891466e+01	17506	5860	176	89	5.056818e-01	1.518771e-02	4921513D23Rik,Arg1,Arid1a,Arid3a,Asxl1,Bcl11a,Ccdc50,Ccnd2,Ccni,Cited2,Cmklr1,Ctdsp2,Cutl1,Ddit4,Edf1,Efna1,Emilin1,Fiz1,Fos,Fzd7,Gabpb1,Gas1,Gli2,Greb1,Gtf2ird1,Hes1,Hmga1,Hmgb2,Hnrpa3,Hoxa10,Hoxa11,Hoxb4,Hoxd9,Hspa9,Id2,Id3,Id4,Irs1,Islr,Jub,Jund1,Klf2,Klf3,Kpnb1,Lef1,Mbnl2,Mgea5,Mllt10,Mrc2,Mrg1,Nck2,Nedd4,Nfyc,Pcdh18,Pdgfc,Pgk1,Pik3r3,Pim1,Pou6f1,Ppox,Ppp1r10,Ptbp1,Ptch1,Ptpru,Rara,Rps29,Rtkn,Runx1t1,Slc39a10,Smad7,Smarca2,Sox5,Sp1,Sp3,Srgap2,Srrm1,Ssbp4,Tgif1,Thra,Timm10,Tmed10,Tmem47,Tyro3,Vdac1,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp668	limb.1109,limb.1133,limb.1180,limb.1187,limb.1210,limb.1222,limb.1223,limb.1273,limb.1288,limb.1313,limb.132,limb.1365,limb.1366,limb.1371,limb.1372,limb.1380,limb.1429,limb.1431,limb.1464,limb.1481,limb.1485,limb.1487,limb.1508,limb.1548,limb.1580,limb.1592,limb.1593,limb.166,limb.168,limb.1690,limb.1724,limb.1785,limb.1790,limb.1805,limb.1819,limb.1826,limb.1899,limb.1904,limb.1905,limb.1931,limb.1948,limb.1949,limb.1974,limb.2026,limb.2057,limb.2071,limb.2097,limb.2101,limb.212,limb.22,limb.227,limb.235,limb.240,limb.257,limb.26,limb.264,limb.269,limb.300,limb.34,limb.368,limb.388,limb.399,limb.429,limb.453,limb.528,limb.537,limb.552,limb.557,limb.560,limb.562,limb.563,limb.600,limb.615,limb.63,limb.636,limb.661,limb.690,limb.693,limb.755,limb.756,limb.757,limb.758,limb.780,limb.81,limb.82,limb.820,limb.821,limb.832,limb.842,limb.85,limb.909,limb.932,limb.991,limb.994,limb.995,limb.996
6944	TS28_organ system	2	2	1.553217e-48	1.050906e-44	5.254532e-45	7.275400e+00	1.292025e+01	2105	94	6.137887e-03	4.465558e-02	67	2.046935e-06	1.384956e-02	2.067099e-04	1.515409e+00	5.807015e+01	17506	5776	176	88	5.000000e-01	1.523546e-02	4921513D23Rik,Arg1,Arid1a,Arid3a,Asxl1,Bcl11a,Ccdc50,Ccnd2,Ccni,Cited2,Cmklr1,Ctdsp2,Cutl1,Ddit4,Edf1,Efna1,Emilin1,Fiz1,Fos,Fzd7,Gabpb1,Gas1,Gli2,Greb1,Gtf2ird1,Hes1,Hmga1,Hmgb2,Hnrpa3,Hoxa10,Hoxb4,Hoxd9,Hspa9,Id2,Id3,Id4,Irs1,Islr,Jub,Jund1,Klf2,Klf3,Kpnb1,Lef1,Mbnl2,Mgea5,Mllt10,Mrc2,Mrg1,Nck2,Nedd4,Nfyc,Pcdh18,Pdgfc,Pgk1,Pik3r3,Pim1,Pou6f1,Ppox,Ppp1r10,Ptbp1,Ptch1,Ptpru,Rara,Rps29,Rtkn,Runx1t1,Slc39a10,Smad7,Smarca2,Sox5,Sp1,Sp3,Srgap2,Srrm1,Ssbp4,Tgif1,Thra,Timm10,Tmed10,Tmem47,Tyro3,Vdac1,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp668	limb.1109,limb.1133,limb.1180,limb.1187,limb.1210,limb.1222,limb.1223,limb.1273,limb.1288,limb.1313,limb.132,limb.1365,limb.1366,limb.1371,limb.1372,limb.1380,limb.1429,limb.1431,limb.1464,limb.1481,limb.1485,limb.1487,limb.1508,limb.1548,limb.1580,limb.1592,limb.1593,limb.166,limb.168,limb.1690,limb.1724,limb.1785,limb.1790,limb.1805,limb.1819,limb.1826,limb.1899,limb.1904,limb.1905,limb.1931,limb.1948,limb.1949,limb.1974,limb.2026,limb.2057,limb.2071,limb.2097,limb.2101,limb.212,limb.22,limb.227,limb.235,limb.240,limb.257,limb.26,limb.264,limb.269,limb.300,limb.34,limb.368,limb.388,limb.399,limb.429,limb.453,limb.528,limb.537,limb.552,limb.557,limb.560,limb.562,limb.563,limb.600,limb.615,limb.63,limb.636,limb.661,limb.690,limb.693,limb.755,limb.756,limb.780,limb.81,limb.82,limb.820,limb.821,limb.832,limb.842,limb.85,limb.909,limb.932,limb.991,limb.994,limb.995,limb.996
6945	TS28_visceral organ	3	3	6.079441e-43	4.113350e-39	1.371117e-39	8.358112e+00	8.973319e+00	2105	75	4.262859e-03	3.562945e-02	52	2.952267e-07	1.997504e-03	3.841353e-05	1.745891e+00	4.009414e+01	17506	3988	176	70	3.977273e-01	1.755266e-02	Arg1,Arid1a,Arid3a,Asxl1,Bcl11a,Ccdc50,Ccnd2,Cited2,Cmklr1,Ctdsp2,Cutl1,Edf1,Emilin1,Fiz1,Fos,Fzd7,Gas1,Gtf2ird1,Hes1,Hmga1,Hmgb2,Hoxa10,Hoxd9,Id2,Id3,Id4,Irs1,Jub,Jund1,Klf2,Klf3,Kpnb1,Lef1,Mbnl2,Mllt10,Mrc2,Mrg1,Nck2,Nedd4,Nfyc,Pcdh18,Pdgfc,Pgk1,Pik3r3,Pim1,Ppox,Ppp1r10,Ptbp1,Ptch1,Ptpru,Rara,Rps29,Rtkn,Runx1t1,Slc39a10,Smad7,Smarca2,Sox5,Sp1,Sp3,Tgif1,Thra,Timm10,Tmem47,Tyro3,Vdac1,Yy1,Zfp143,Zfp36l1,Zfp36l2	limb.1133,limb.1180,limb.1187,limb.1222,limb.1223,limb.1273,limb.1288,limb.1313,limb.132,limb.1366,limb.1371,limb.1372,limb.1380,limb.1431,limb.1464,limb.1481,limb.1487,limb.1508,limb.1548,limb.1580,limb.1592,limb.1593,limb.166,limb.168,limb.1690,limb.1724,limb.1790,limb.1819,limb.1826,limb.1899,limb.1904,limb.1905,limb.1931,limb.1948,limb.1949,limb.2026,limb.2057,limb.2097,limb.2101,limb.212,limb.22,limb.227,limb.240,limb.257,limb.26,limb.264,limb.300,limb.34,limb.368,limb.388,limb.429,limb.453,limb.528,limb.537,limb.552,limb.557,limb.562,limb.563,limb.600,limb.615,limb.63,limb.661,limb.690,limb.693,limb.755,limb.756,limb.780,limb.820,limb.821,limb.832,limb.842,limb.909,limb.991,limb.995,limb.996
2023	TS17_embryo	2	4	3.064300e-40	2.073305e-36	5.183264e-37	9.820964e+00	6.414849e+00	2105	63	3.047434e-03	2.992874e-02	12	9.295852e-10	6.289574e-06	5.241311e-07	2.255194e+00	2.527499e+01	17506	2514	176	57	3.238636e-01	2.267303e-02	Arid1a,Arid3a,Asxl1,Bcl11a,Csnk1d,Ctdsp2,Cutl1,Dusp6,Eed,Efna1,Emilin1,Fos,Fzd7,Gli2,Gtf2ird1,Hes1,Hmga1,Hmgb2,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Id2,Id3,Id4,Islr,Jub,Jund1,Klf2,Klf3,Lef1,Marcks,Mbnl2,Mllt10,Mrg1,Myst3,Nck2,Nfyc,Plxdc2,Pou6f1,Ptch1,Pthr1,Rara,Rnf44,Smarca2,Sox5,Sp1,Tgif1,Thbs3,Thra,Trim37,Yy1,Zfp143,Zfp36l2,Zfp532,Zfp668	limb.1109,limb.1157,limb.1195,limb.1223,limb.1242,limb.1273,limb.1288,limb.1357,limb.1365,limb.1371,limb.1372,limb.1413,limb.1431,limb.1487,limb.1508,limb.1548,limb.1560,limb.1592,limb.1593,limb.161,limb.166,limb.1690,limb.1724,limb.1785,limb.1790,limb.1795,limb.1826,limb.1899,limb.1931,limb.1948,limb.1949,limb.2010,limb.2057,limb.22,limb.227,limb.257,limb.300,limb.34,limb.398,limb.399,limb.429,limb.537,limb.557,limb.562,limb.563,limb.600,limb.615,limb.690,limb.693,limb.755,limb.756,limb.757,limb.758,limb.81,limb.82,limb.832,limb.892,limb.909,limb.932,limb.969,limb.991,limb.995,limb.996
2022	Theiler_stage_17	1	5	6.264693e-40	4.238691e-36	8.477382e-37	9.698152e+00	6.496083e+00	2105	63	3.086025e-03	2.992874e-02	16	1.824050e-09	1.234153e-05	7.713453e-07	2.215536e+00	2.572741e+01	17506	2559	176	57	3.238636e-01	2.227433e-02	Arid1a,Arid3a,Asxl1,Bcl11a,Csnk1d,Ctdsp2,Cutl1,Dusp6,Eed,Efna1,Emilin1,Fos,Fzd7,Gli2,Gtf2ird1,Hes1,Hmga1,Hmgb2,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Id2,Id3,Id4,Islr,Jub,Jund1,Klf2,Klf3,Lef1,Marcks,Mbnl2,Mllt10,Mrg1,Myst3,Nck2,Nfyc,Plxdc2,Pou6f1,Ptch1,Pthr1,Rara,Rnf44,Smarca2,Sox5,Sp1,Tgif1,Thbs3,Thra,Trim37,Yy1,Zfp143,Zfp36l2,Zfp532,Zfp668	limb.1109,limb.1157,limb.1195,limb.1223,limb.1242,limb.1273,limb.1288,limb.1357,limb.1365,limb.1371,limb.1372,limb.1413,limb.1431,limb.1487,limb.1508,limb.1548,limb.1560,limb.1592,limb.1593,limb.161,limb.166,limb.1690,limb.1724,limb.1785,limb.1790,limb.1795,limb.1826,limb.1899,limb.1931,limb.1948,limb.1949,limb.2010,limb.2057,limb.22,limb.227,limb.257,limb.300,limb.34,limb.398,limb.399,limb.429,limb.537,limb.557,limb.562,limb.563,limb.600,limb.615,limb.690,limb.693,limb.755,limb.756,limb.757,limb.758,limb.81,limb.82,limb.832,limb.892,limb.909,limb.932,limb.969,limb.991,limb.995,limb.996
2165	TS17_organ system	3	6	1.751635e-38	1.185156e-34	1.975260e-35	1.070640e+01	5.323916e+00	2105	57	2.529176e-03	2.707838e-02	4	2.466932e-10	1.669126e-06	4.172815e-07	2.511268e+00	2.030847e+01	17506	2020	176	51	2.897727e-01	2.524752e-02	Arid1a,Arid3a,Asxl1,Bcl11a,Ctdsp2,Cutl1,Dusp6,Eed,Efna1,Emilin1,Fos,Fzd7,Gli2,Gtf2ird1,Hes1,Hmgb2,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Id2,Id3,Id4,Jub,Jund1,Klf3,Lef1,Marcks,Mllt10,Mrg1,Myst3,Nck2,Nfyc,Plxdc2,Pou6f1,Ptch1,Pthr1,Rara,Rnf44,Smarca2,Sox5,Sp1,Tgif1,Thbs3,Thra,Yy1,Zfp143,Zfp36l2,Zfp532,Zfp668	limb.1157,limb.1195,limb.1223,limb.1242,limb.1273,limb.1288,limb.1365,limb.1371,limb.1372,limb.1431,limb.1487,limb.1508,limb.1548,limb.1560,limb.1592,limb.1593,limb.161,limb.166,limb.1690,limb.1785,limb.1790,limb.1795,limb.1826,limb.1931,limb.1948,limb.1949,limb.2010,limb.2057,limb.22,limb.227,limb.257,limb.300,limb.34,limb.398,limb.399,limb.429,limb.537,limb.557,limb.562,limb.563,limb.600,limb.615,limb.690,limb.693,limb.755,limb.756,limb.757,limb.758,limb.81,limb.82,limb.832,limb.892,limb.909,limb.932,limb.969,limb.991,limb.995
4761	TS21_embryo	2	7	6.132353e-38	4.149150e-34	5.927357e-35	9.390413e+00	6.495987e+00	2105	61	3.085980e-03	2.897862e-02	32	1.637646e-08	1.108031e-04	3.462598e-06	2.130306e+00	2.581789e+01	17506	2568	176	55	3.125000e-01	2.141745e-02	4921513D23Rik,Arid1a,Arid3a,Bcl11a,Ccnd2,Cited2,Cmklr1,Cutl1,Dusp6,Eed,Emilin1,Fos,Gas1,Gli2,Gtf2ird1,Hes1,Hmga1,Hmgb2,Hnrpa3,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Id2,Id3,Id4,Jub,Jund1,Klf3,Kpnb1,Lef1,Mbnl2,Mrg1,Myst3,Nedd4,Nfyc,Pcdh18,Pgk1,Pik3r3,Pou6f1,Ptbp1,Ptch1,Pthr1,Rara,Rnf44,Sema6a,Sox5,Sp1,Sp3,Srrm1,Tgif1,Thra,Vdac1,Zfp524	limb.1133,limb.1157,limb.1180,limb.1222,limb.1223,limb.1242,limb.1288,limb.1313,limb.1365,limb.1366,limb.1371,limb.1372,limb.1431,limb.1487,limb.1548,limb.1560,limb.1580,limb.1592,limb.1593,limb.1690,limb.1724,limb.1785,limb.1790,limb.1795,limb.1805,limb.1826,limb.1899,limb.1931,limb.1980,limb.2101,limb.212,limb.227,limb.235,limb.257,limb.368,limb.429,limb.528,limb.537,limb.557,limb.560,limb.562,limb.563,limb.600,limb.615,limb.661,limb.690,limb.693,limb.755,limb.756,limb.757,limb.758,limb.81,limb.82,limb.820,limb.821,limb.832,limb.842,limb.892,limb.969,limb.991,limb.995
4760	Theiler_stage_21	1	8	1.015435e-37	6.870434e-34	8.588043e-35	9.304323e+00	6.556092e+00	2105	61	3.114533e-03	2.897862e-02	35	2.673110e-08	1.808626e-04	5.167503e-06	2.100854e+00	2.617982e+01	17506	2604	176	55	3.125000e-01	2.112135e-02	4921513D23Rik,Arid1a,Arid3a,Bcl11a,Ccnd2,Cited2,Cmklr1,Cutl1,Dusp6,Eed,Emilin1,Fos,Gas1,Gli2,Gtf2ird1,Hes1,Hmga1,Hmgb2,Hnrpa3,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Id2,Id3,Id4,Jub,Jund1,Klf3,Kpnb1,Lef1,Mbnl2,Mrg1,Myst3,Nedd4,Nfyc,Pcdh18,Pgk1,Pik3r3,Pou6f1,Ptbp1,Ptch1,Pthr1,Rara,Rnf44,Sema6a,Sox5,Sp1,Sp3,Srrm1,Tgif1,Thra,Vdac1,Zfp524	limb.1133,limb.1157,limb.1180,limb.1222,limb.1223,limb.1242,limb.1288,limb.1313,limb.1365,limb.1366,limb.1371,limb.1372,limb.1431,limb.1487,limb.1548,limb.1560,limb.1580,limb.1592,limb.1593,limb.1690,limb.1724,limb.1785,limb.1790,limb.1795,limb.1805,limb.1826,limb.1899,limb.1931,limb.1980,limb.2101,limb.212,limb.227,limb.235,limb.257,limb.368,limb.429,limb.528,limb.537,limb.557,limb.560,limb.562,limb.563,limb.600,limb.615,limb.661,limb.690,limb.693,limb.755,limb.756,limb.757,limb.758,limb.81,limb.82,limb.820,limb.821,limb.832,limb.842,limb.892,limb.969,limb.991,limb.995
5741	TS22_embryo	2	9	1.159736e-37	7.846776e-34	8.718640e-35	8.445968e+00	7.695980e+00	2105	65	3.656047e-03	3.087886e-02	75	5.246464e-06	3.549757e-02	4.733010e-04	1.737267e+00	3.396138e+01	17506	3378	176	59	3.352273e-01	1.746596e-02	2010321M09Rik,Anp32a,Arg1,Bahcc1,Ccdc50,Ccnd2,Cited2,Cmklr1,Cutl1,Dusp6,Efna1,Emilin1,Fgd4,Fos,Fzd7,Gabpb1,Gas1,Gli2,Gtf2ird1,Hes1,Hmga1,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Id2,Id3,Jmjd3,Kbtbd4,Kpnb1,Lef1,Mbnl2,Mrg1,Mtx1,Nedd4,Nuak1,Park2,Pcdh18,Pdgfc,Pgk1,Pim1,Ppox,Ptch1,Pthr1,Ptpru,Rara,Sema6a,Sox5,Sp1,Srgap2,Srrm1,Ssbp4,Tgif1,Thra,Traf7,Trim37,Tyro3,Usp46,Vdac1	limb.1122,limb.1127,limb.1133,limb.1157,limb.1180,limb.1187,limb.1230,limb.1242,limb.1313,limb.132,limb.1331,limb.1357,limb.1365,limb.1366,limb.1371,limb.1372,limb.1410,limb.1431,limb.1487,limb.1580,limb.1592,limb.1593,limb.1724,limb.1790,limb.1795,limb.1810,limb.1819,limb.1826,limb.1883,limb.1896,limb.1899,limb.1904,limb.1931,limb.1980,limb.2101,limb.241,limb.257,limb.264,limb.269,limb.34,limb.368,limb.388,limb.398,limb.399,limb.429,limb.552,limb.560,limb.562,limb.563,limb.600,limb.620,limb.661,limb.690,limb.693,limb.755,limb.756,limb.757,limb.758,limb.81,limb.82,limb.820,limb.821,limb.832,limb.85,limb.994
5740	Theiler_stage_22	1	10	1.779315e-37	1.203885e-33	1.203885e-34	8.383453e+00	7.753368e+00	2105	65	3.683310e-03	3.087886e-02	81	7.179719e-06	4.857798e-02	5.997281e-04	1.720460e+00	3.429316e+01	17506	3411	176	59	3.352273e-01	1.729698e-02	2010321M09Rik,Anp32a,Arg1,Bahcc1,Ccdc50,Ccnd2,Cited2,Cmklr1,Cutl1,Dusp6,Efna1,Emilin1,Fgd4,Fos,Fzd7,Gabpb1,Gas1,Gli2,Gtf2ird1,Hes1,Hmga1,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Id2,Id3,Jmjd3,Kbtbd4,Kpnb1,Lef1,Mbnl2,Mrg1,Mtx1,Nedd4,Nuak1,Park2,Pcdh18,Pdgfc,Pgk1,Pim1,Ppox,Ptch1,Pthr1,Ptpru,Rara,Sema6a,Sox5,Sp1,Srgap2,Srrm1,Ssbp4,Tgif1,Thra,Traf7,Trim37,Tyro3,Usp46,Vdac1	limb.1122,limb.1127,limb.1133,limb.1157,limb.1180,limb.1187,limb.1230,limb.1242,limb.1313,limb.132,limb.1331,limb.1357,limb.1365,limb.1366,limb.1371,limb.1372,limb.1410,limb.1431,limb.1487,limb.1580,limb.1592,limb.1593,limb.1724,limb.1790,limb.1795,limb.1810,limb.1819,limb.1826,limb.1883,limb.1896,limb.1899,limb.1904,limb.1931,limb.1980,limb.2101,limb.241,limb.257,limb.264,limb.269,limb.34,limb.368,limb.388,limb.398,limb.399,limb.429,limb.552,limb.560,limb.562,limb.563,limb.600,limb.620,limb.661,limb.690,limb.693,limb.755,limb.756,limb.757,limb.758,limb.81,limb.82,limb.820,limb.821,limb.832,limb.85,limb.994
