# GREAT Version 5.03
# Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension
# Significance tests required to pass thresholds: both
# Raw P-val tolerated: 5.000000e-02
# Annotation count range: [1, -1]
# DAG level range: [1, -1]
# Tests performed: 6090
# ID	Desc	DAGLvl	BRank	BPval	BBonf	BFDR	BFold	BExp	Bn	Bk	BProb	RegionSetCov	HRank	HPval	HBonf	HFDR	HFold	HExp	HN	HK	Hn	Hk	GeneSetCov	TermGeneCov	Genes	Regions
MP:0000001	mammalian phenotype	1	1	1.159955e-42	7.064124e-39	7.064124e-39	6.872153e+00	1.251427e+01	2105	86	5.945023e-03	4.085511e-02	61	2.439690e-04	1.000000e+00	2.435690e-02	1.393568e+00	5.740660e+01	17506	5710	176	80	4.545455e-01	1.401051e-02	Arg1,Arid1a,Bahcc1,Bcl11a,Ccnd2,Ccni,Cited2,Cmklr1,Csnk1d,Cutl1,Ddit4,Ddr2,Dusp6,Ect2,Eed,Emilin1,Fos,Gabpb1,Gas1,Gli2,Gtf2ird1,Hes1,Hmga1,Hmgb2,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Id2,Id3,Id4,Irs1,Jub,Jund1,Klf2,Klf3,Kpnb1,Lbp,Lef1,Marcks,Mbnl2,Mrc2,Mtx1,Myst3,Nck2,Nedd4,Nuak1,Park2,Pcolce,Pdgfc,Picalm,Pim1,Ptch1,Pthr1,Rara,Runx1t1,Sema6a,Smad7,Smarca2,Smc1a,Smtn,Sox12,Sox5,Sp1,Sp3,Ssbp3,Tgif1,Thbs3,Thra,Tmed10,Tyro3,Ubc,Vdac1,Xrcc5,Yy1,Zfp143,Zfp36l1,Zfp36l2,Zfp568	limb.1133,limb.1157,limb.1180,limb.1187,limb.1195,limb.1210,limb.1230,limb.1242,limb.1277,limb.1288,limb.131,limb.1313,limb.1365,limb.1366,limb.1371,limb.1372,limb.1380,limb.1410,limb.1413,limb.1431,limb.1481,limb.1485,limb.1487,limb.1508,limb.1548,limb.1580,limb.1592,limb.1593,limb.1690,limb.1724,limb.1790,limb.1795,limb.1826,limb.1883,limb.1899,limb.1904,limb.1931,limb.1948,limb.1949,limb.1980,limb.2026,limb.2057,limb.2105,limb.212,limb.22,limb.227,limb.264,limb.269,limb.293,limb.305,limb.345,limb.388,limb.398,limb.429,limb.453,limb.48,limb.520,limb.557,limb.562,limb.563,limb.600,limb.615,limb.63,limb.636,limb.661,limb.672,limb.690,limb.693,limb.697,limb.755,limb.756,limb.757,limb.758,limb.81,limb.82,limb.820,limb.821,limb.832,limb.856,limb.892,limb.893,limb.909,limb.969,limb.991,limb.995,limb.996
MP:0005378	growth/size phenotype	2	2	7.703232e-35	4.691268e-31	2.345634e-31	9.606608e+00	5.725226e+00	2105	55	2.719822e-03	2.612827e-02	6	3.440897e-08	2.095506e-04	3.492510e-05	2.175284e+00	2.344522e+01	17506	2332	176	51	2.897727e-01	2.186964e-02	Cited2,Csnk1d,Cutl1,Ddr2,Dusp6,Eed,Fos,Gas1,Gli2,Gtf2ird1,Hes1,Hmga1,Hoxa10,Hoxb4,Id2,Id3,Id4,Irs1,Jund1,Klf2,Klf3,Lef1,Marcks,Myst3,Nck2,Nedd4,Nuak1,Park2,Pdgfc,Picalm,Pim1,Ptch1,Pthr1,Rara,Runx1t1,Smad7,Smarca2,Smtn,Sox5,Sp1,Sp3,Ssbp3,Tgif1,Thbs3,Thra,Tyro3,Ubc,Vdac1,Xrcc5,Yy1,Zfp36l1	limb.1133,limb.1157,limb.1180,limb.1195,limb.1230,limb.1242,limb.1277,limb.131,limb.1313,limb.1365,limb.1371,limb.1372,limb.1413,limb.1431,limb.1481,limb.1487,limb.1508,limb.1548,limb.1580,limb.1592,limb.1593,limb.1790,limb.1826,limb.1883,limb.1899,limb.1904,limb.1931,limb.2026,limb.2057,limb.212,limb.22,limb.264,limb.388,limb.398,limb.429,limb.453,limb.48,limb.520,limb.562,limb.563,limb.615,limb.63,limb.672,limb.690,limb.693,limb.755,limb.756,limb.81,limb.82,limb.832,limb.892,limb.893,limb.969,limb.995,limb.996
MP:0005374	lethality-prenatal/perinatal	2	3	6.454946e-31	3.931062e-27	1.310354e-27	9.464408e+00	5.177291e+00	2105	49	2.459521e-03	2.327791e-02	11	6.440360e-07	3.922179e-03	3.565617e-04	2.141145e+00	2.054975e+01	17506	2044	176	44	2.500000e-01	2.152642e-02	Arid1a,Bahcc1,Bcl11a,Ccnd2,Cited2,Csnk1d,Cutl1,Ect2,Fos,Gabpb1,Gas1,Gli2,Gtf2ird1,Hes1,Hoxa11,Hoxb4,Id3,Klf2,Kpnb1,Marcks,Mtx1,Myst3,Nck2,Nedd4,Nuak1,Pdgfc,Ptch1,Pthr1,Rara,Runx1t1,Smad7,Sox5,Sp1,Sp3,Ssbp3,Tgif1,Thra,Tmed10,Ubc,Vdac1,Xrcc5,Yy1,Zfp36l1,Zfp568	limb.1133,limb.1157,limb.1180,limb.1195,limb.1230,limb.1288,limb.1313,limb.1365,limb.1366,limb.1371,limb.1372,limb.1410,limb.1413,limb.1481,limb.1485,limb.1487,limb.1508,limb.1580,limb.1592,limb.1593,limb.1790,limb.1826,limb.1931,limb.2026,limb.212,limb.22,limb.269,limb.345,limb.388,limb.398,limb.453,limb.48,limb.520,limb.557,limb.562,limb.563,limb.672,limb.690,limb.693,limb.757,limb.758,limb.81,limb.82,limb.820,limb.821,limb.832,limb.856,limb.969,limb.996
MP:0002089	abnormal postnatal growth/weight/body size	3	4	7.341224e-30	4.470806e-26	1.117701e-26	9.864047e+00	4.663400e+00	2105	46	2.215392e-03	2.185273e-02	10	1.999200e-07	1.217513e-03	1.217513e-04	2.261784e+00	1.901154e+01	17506	1891	176	43	2.443182e-01	2.273929e-02	Cited2,Csnk1d,Cutl1,Ddr2,Dusp6,Eed,Fos,Gli2,Gtf2ird1,Hmga1,Hoxa10,Hoxb4,Id2,Id4,Irs1,Jund1,Klf3,Lef1,Marcks,Myst3,Nck2,Nedd4,Nuak1,Park2,Picalm,Pim1,Ptch1,Pthr1,Rara,Runx1t1,Smad7,Smarca2,Smtn,Sox5,Sp1,Sp3,Tgif1,Thbs3,Thra,Tyro3,Ubc,Vdac1,Xrcc5	limb.1133,limb.1157,limb.1180,limb.1195,limb.1230,limb.1242,limb.1277,limb.131,limb.1313,limb.1365,limb.1371,limb.1372,limb.1413,limb.1431,limb.1487,limb.1548,limb.1592,limb.1593,limb.1790,limb.1883,limb.1899,limb.1904,limb.1931,limb.2026,limb.2057,limb.212,limb.22,limb.264,limb.398,limb.429,limb.453,limb.48,limb.615,limb.63,limb.672,limb.690,limb.693,limb.755,limb.756,limb.81,limb.82,limb.832,limb.892,limb.893,limb.969,limb.995
MP:0005508	abnormal skeleton morphology	3	5	9.802305e-30	5.969604e-26	1.193921e-26	1.499852e+01	2.400238e+00	2105	36	1.140255e-03	1.710214e-02	3	1.415397e-09	8.619765e-06	2.873255e-06	3.350431e+00	9.551011e+00	17506	950	176	32	1.818182e-01	3.368421e-02	Cited2,Cutl1,Ddr2,Dusp6,Fos,Gas1,Gli2,Gtf2ird1,Hes1,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Irs1,Klf2,Lef1,Marcks,Mbnl2,Park2,Pcolce,Pdgfc,Ptch1,Pthr1,Rara,Sox5,Sp1,Sp3,Ssbp3,Thbs3,Thra,Tyro3	limb.1157,limb.1180,limb.1195,limb.1242,limb.131,limb.1365,limb.1371,limb.1372,limb.1487,limb.1580,limb.1592,limb.1593,limb.1724,limb.1790,limb.1795,limb.1826,limb.1883,limb.212,limb.227,limb.264,limb.388,limb.398,limb.429,limb.520,limb.63,limb.690,limb.693,limb.697,limb.755,limb.756,limb.757,limb.758,limb.81,limb.82,limb.832,limb.996
MP:0005390	skeleton phenotype	2	6	5.264527e-29	3.206097e-25	5.343495e-26	1.426764e+01	2.523193e+00	2105	36	1.198666e-03	1.710214e-02	5	6.420548e-09	3.910114e-05	7.820228e-06	3.148278e+00	1.016429e+01	17506	1011	176	32	1.818182e-01	3.165183e-02	Cited2,Cutl1,Ddr2,Dusp6,Fos,Gas1,Gli2,Gtf2ird1,Hes1,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Irs1,Klf2,Lef1,Marcks,Mbnl2,Park2,Pcolce,Pdgfc,Ptch1,Pthr1,Rara,Sox5,Sp1,Sp3,Ssbp3,Thbs3,Thra,Tyro3	limb.1157,limb.1180,limb.1195,limb.1242,limb.131,limb.1365,limb.1371,limb.1372,limb.1487,limb.1580,limb.1592,limb.1593,limb.1724,limb.1790,limb.1795,limb.1826,limb.1883,limb.212,limb.227,limb.264,limb.388,limb.398,limb.429,limb.520,limb.63,limb.690,limb.693,limb.697,limb.755,limb.756,limb.757,limb.758,limb.81,limb.82,limb.832,limb.996
MP:0002114	abnormal axial skeleton morphology	4	7	9.432721e-29	5.744527e-25	8.206468e-26	1.767646e+01	1.810317e+00	2105	32	8.600081e-04	1.520190e-02	1	1.411646e-10	8.596924e-07	8.596924e-07	4.162998e+00	6.725923e+00	17506	669	176	28	1.590909e-01	4.185351e-02	Cited2,Ddr2,Dusp6,Fos,Gas1,Gli2,Gtf2ird1,Hes1,Hoxa10,Hoxa11,Hoxb4,Hoxc5,Hoxd9,Klf2,Lef1,Marcks,Mbnl2,Park2,Pdgfc,Ptch1,Pthr1,Rara,Sox5,Sp1,Sp3,Ssbp3,Thra,Tyro3	limb.1157,limb.1180,limb.1195,limb.1242,limb.131,limb.1365,limb.1371,limb.1372,limb.1487,limb.1580,limb.1592,limb.1593,limb.1724,limb.1790,limb.1795,limb.1826,limb.1883,limb.212,limb.227,limb.264,limb.388,limb.429,limb.520,limb.690,limb.755,limb.756,limb.757,limb.758,limb.81,limb.82,limb.832,limb.996
MP:0002080	prenatal lethality	3	8	1.694547e-25	1.031979e-21	1.289974e-22	1.024378e+01	3.709570e+00	2105	38	1.762266e-03	1.805226e-02	18	7.046971e-06	4.291605e-02	2.384225e-03	2.227827e+00	1.526151e+01	17506	1518	176	34	1.931818e-01	2.239789e-02	Arid1a,Ccnd2,Cited2,Csnk1d,Ect2,Gabpb1,Gas1,Gli2,Gtf2ird1,Hes1,Id3,Klf2,Kpnb1,Mtx1,Myst3,Nck2,Nedd4,Pdgfc,Ptch1,Pthr1,Rara,Sox5,Sp1,Sp3,Ssbp3,Tgif1,Thra,Tmed10,Ubc,Vdac1,Xrcc5,Yy1,Zfp36l1,Zfp568	limb.1133,limb.1157,limb.1180,limb.1313,limb.1366,limb.1371,limb.1372,limb.1413,limb.1481,limb.1485,limb.1508,limb.1580,limb.1592,limb.1593,limb.1790,limb.1826,limb.1931,limb.212,limb.22,limb.269,limb.345,limb.388,limb.398,limb.48,limb.520,limb.557,limb.562,limb.563,limb.672,limb.690,limb.81,limb.82,limb.820,limb.821,limb.832,limb.856,limb.969,limb.996
MP:0000545	abnormal limbs/digits/tail morphology	3	9	1.342007e-24	8.172822e-21	9.080913e-22	1.783421e+01	1.513944e+00	2105	27	7.192133e-04	1.282660e-02	7	3.626585e-08	2.208590e-04	3.155129e-05	3.819225e+00	6.022164e+00	17506	599	176	23	1.306818e-01	3.839733e-02	Cited2,Ddr2,Dusp6,Fos,Gas1,Gli2,Hoxa10,Hoxa11,Hoxd9,Irs1,Myst3,Pcolce,Ptch1,Pthr1,Rara,Sox5,Sp1,Sp3,Ssbp3,Tgif1,Thbs3,Thra,Tyro3	limb.1157,limb.1180,limb.1242,limb.131,limb.1371,limb.1372,limb.1487,limb.1580,limb.1592,limb.1593,limb.1790,limb.1931,limb.212,limb.227,limb.264,limb.398,limb.520,limb.63,limb.697,limb.755,limb.756,limb.757,limb.758,limb.81,limb.82,limb.832,limb.969
MP:0009250	abnormal appendicular skeleton morphology	4	10	1.227235e-22	7.473860e-19	7.473860e-20	2.298703e+01	9.570614e-01	2105	22	4.546610e-04	1.045131e-02	8	4.063123e-08	2.474442e-04	3.093052e-05	4.812867e+00	3.739975e+00	17506	372	176	18	1.022727e-01	4.838710e-02	Ddr2,Dusp6,Fos,Gas1,Gli2,Hoxa10,Hoxa11,Hoxd9,Irs1,Pcolce,Pdgfc,Ptch1,Pthr1,Sox5,Sp3,Thbs3,Thra,Tyro3	limb.1157,limb.1242,limb.131,limb.1371,limb.1487,limb.1580,limb.1592,limb.1593,limb.212,limb.227,limb.264,limb.388,limb.398,limb.63,limb.697,limb.755,limb.756,limb.757,limb.758,limb.81,limb.82,limb.832
