limb.1	Depdc2 (+33667)
limb.2	Depdc2 (+751530), Sulf1 (-973550)
limb.3	Sulf1 (-102800)
limb.4	Sulf1 (-27750)
limb.5	Ncoa2 (-52362), Tram1 (+163419)
limb.6	Xkr9 (+192499), Eya1 (+448929)
limb.7	Rdh10 (+143313), Stau2 (+270058)
limb.8	Col9a1 (+18687), Col19a1 (+391050)
limb.9	Col9a1 (+62862), Col19a1 (+346875)
limb.10	Col9a1 (+132924), Col19a1 (+276813)
limb.11	Col19a1 (-25412), Lmbrd1 (-65695)
limb.12	Dst (-20657), Zfp451 (-176741)
limb.13	Hs6st1 (-192966)
limb.14	Hs6st1 (-51128)
limb.15	Hs6st1 (-3428)
limb.16	Aff3 (+114638), Aff3 (-307606)
limb.17	Aff3 (-15549), Chst10 (+255367)
limb.18	Aff3 (-130699), Chst10 (+140217)
limb.19	Il1rl2 (+28579), Il1rl1 (-87422)
limb.20	Mfsd9 (+49814), Slc9a2 (+59131)
limb.21	Pou3f3 (-156878)
limb.22	Nck2 (-370)
limb.23	Gulp1 (-9713), Ercc5 (+531584)
limb.24	Slc40a1 (+158101), Col5a2 (-264211)
limb.25	Slc39a10 (+23228), EG212225 (-799812)
limb.26	Slc39a10 (-109)
limb.27	Tmeff2 (+45171), Sdpr (-316432)
limb.28	Gls (-74065), Nab1 (+193303)
limb.29	5330401P04Rik (+22322), 2210010L05Rik (+56686)
limb.30	Plcl1 (+591536), Hsfy2 (+639969)
limb.31	9430016H08Rik (-200484), Satb2 (-234510)
limb.32	AK211120 (-19365), Als2 (-33077)
limb.33	AK211120 (+32823), Fzd7 (-159697)
limb.34	Fzd7 (-685)
limb.35	Fzd7 (+34190), Sumo1 (+154465)
limb.36	Icos (+320305), Pard3b (-330741)
limb.37	Icos (+324105), Pard3b (-326941)
limb.38	Pard3b (+289271), Nrp2 (-774803)
limb.39	Nrp2 (-512640), Pard3b (+551434)
limb.40	Nrp2 (-320040), Pard3b (+744034)
limb.41	Nrp2 (-58278)
limb.42	Klf7 (+54275), Fastkd2 (+336463)
limb.43	Klf7 (-43300), Creb1 (-368115)
limb.44	Mtap2 (-70396), Crygf (+325080)
limb.45	Rpe (-103354), Mtap2 (+275541)
limb.46	Myl1 (-42732), Lancl1 (+51101)
limb.47	Bard1 (-7096), Abca12 (+138425)
limb.48	Xrcc5 (-421)
limb.49	Tnp1 (-236242), Tns1 (+689917)
limb.50	Tnp1 (-348042), Tns1 (+578117)
limb.51	Tns1 (+239354), Tnp1 (-686805)
limb.52	Tns1 (+186029), Tnp1 (-740130)
limb.53	Tns1 (+183079), Tnp1 (-743080)
limb.54	D1Bwg1363e (+150), A230078I05Rik (-329)
limb.55	Slc4a3 (+121440)
limb.56	Slc4a3 (+226915)
limb.57	Slc4a3 (+240065)
limb.58	Slc4a3 (+437415)
limb.59	Slc4a3 (+737290)
limb.60	Epha4 (+502675)
limb.61	Irs1 (+546590)
limb.62	Irs1 (+88540)
limb.63	Irs1 (-172)
limb.64	Rhbdd1 (+20882), Col4a4 (+225648)
