SRF.1	C5orf43 (-169704), ZSWIM6 (-189165)
SRF.2	EGR1 (-101)
SRF.3	EGR1 (-390)
SRF.4	ACTB (-66)
SRF.5	EGR1 (+26682), ETF1 (+51069)
SRF.6	MAP3K14 (-236)
SRF.7	QPCTL (+24801), SIX5 (+51579)
SRF.8	BZRAP1 (-9461), SUPT4H1 (+13950)
SRF.9	FOS (+15473), JDP2 (-137833)
SRF.10	EGR3 (-2097)
SRF.11	JUNB (+2128), PRDX2 (+8256)
SRF.12	TXN2 (+26400), MYH9 (-67306)
SRF.13	IRF3 (-10), BCL2L12 (+743)
SRF.14	MGRN1 (-8490), C16orf5 (-77547)
SRF.15	CBX8 (-13182), CBX4 (+29141)
SRF.16	BCL10 (+1075), SYDE2 (-75780)
SRF.17	COTL1 (+102940), ATP2C2 (+146596)
SRF.18	ACTB (+779)
SRF.19	HHIPL2 (+237057), DUSP10 (-568926)
SRF.20	EGR4 (-137)
SRF.21	NR4A1 (-41)
SRF.22	MYH9 (+56307), APOL1 (+78550)
SRF.23	RAET1L (+20213), ULBP1 (+41312)
SRF.24	CD248 (-1010)
SRF.25	EGR2 (-356)
SRF.26	HOMER1 (-770)
SRF.27	SERTAD1 (+5034), PRX (-7627)
SRF.28	DUSP5 (-27)
SRF.29	BMP10 (-37033), GKN2 (+44420)
SRF.30	IER2 (+1420), STX10 (-1715)
SRF.31	SF3B14 (-63)
SRF.32	PTMS (-2022)
SRF.33	PITPNM2 (-21726), MPHOSPH9 (+89681)
SRF.34	C14orf43 (+26848), PNMA1 (-45920)
SRF.35	NR2F2 (-110)
SRF.36	TCF7 (-153)
SRF.37	ZNF408 (-112), ARHGAP1 (-136)
SRF.38	BTBD14A (-14403), LHX3 (+93470)
SRF.39	FOS (-317)
SRF.40	FOSB (-277)
SRF.41	FAM32A (-183)
SRF.42	JMJD1A (+1597), VPS24 (+120649)
SRF.43	ACTG1 (-96)
SRF.44	RSU1 (+1)
SRF.45	WDR1 (+55)
SRF.46	KIAA2013 (+18545), NPPB (-48943)
SRF.47	CFL1 (-843), MUS81 (-928)
SRF.48	CORO1A (+2392), GIYD2 (-7899)
SRF.49	FHL2 (+141)
SRF.50	KLF7 (-310)
SRF.51	IFNGR2 (-22099), IFNAR1 (+55889)
SRF.52	EGR2 (-84)
SRF.53	SRF (+52)
SRF.54	KAT5 (-48)
SRF.55	EGR3 (-254)
SRF.56	ZSWIM4 (-253)
SRF.57	NDUFS5 (+453)
SRF.58	LENG9 (+14628), TTYH1 (+33631)
SRF.59	D4S234E (-37018), ZNF509 (+58588)
SRF.60	ARC (-7654), JRK (+47914)
SRF.61	MEGF8 (-160)
SRF.62	MRCL3 (-67)
SRF.63	DUSP2 (-72)
SRF.64	FOSL1 (-123)
SRF.65	SRRM1 (-89)
SRF.66	RNF216 (+86099), FSCN1 (+102739)
SRF.67	ERP27 (-10447), ARHGDIB (+12660)
SRF.68	TADA3L (-31)
SRF.69	ZNF548 (-140)
SRF.70	PIGL (+68973), UBB (-94885)
SRF.71	RNH1 (-29)
SRF.72	EFHA1 (-127)
SRF.73	EIF2B2 (-216)
SRF.74	ZNF689 (-23978), FBRS (-30118)
SRF.75	CTDSP1 (-1645)
SRF.76	NPAS4 (-11905), SLC29A2 (-37279)
SRF.77	GRK6 (-717)
SRF.78	SPARCL1 (-30224), DSPP (-48802)
SRF.79	C3orf58 (-620)
SRF.80	ZNF252 (+2)
SRF.81	ARHGAP25 (+17094), BMP10 (+119587)
SRF.82	CNN2 (+234)
SRF.83	IER2 (+12575), CACNA1A (+343417)
SRF.84	FOSL2 (-432)
SRF.85	STX4 (-197)
SRF.86	RBM17 (+55800), PFKFB3 (-58088)
SRF.87	MCL1 (-57)
SRF.88	PTER (+5)
SRF.89	CPA1 (-14757), CPA5 (+20968)
SRF.90	ACTB (-1439)
SRF.91	N6AMT2 (+644)
SRF.92	ACTG1 (+51701), BAHCC1 (+54586)
SRF.93	ALDOA (+1464), PPP4C (-10320)
SRF.94	COX19 (+31)
SRF.95	CDH23 (+134763), C10orf105 (+188111)
SRF.96	FBRS (-5767), ZNF689 (-48329)
SRF.97	B4GALT1 (+1421), SMU1 (-89221)
SRF.98	PLEKHG2 (-688)
SRF.99	EBF3 (-520)
SRF.100	ULBP1 (-107)
SRF.101	HNRNPL (+18066), LGALS4 (-18969)
SRF.102	SMTN (+3656), SELM (+22590)
SRF.103	MS4A15 (+8264), MS4A10 (-20217)
SRF.104	POLD1 (-49)
SRF.105	RAB11B (-368)
SRF.106	CAP1 (-576)
SRF.107	RNASEH2B (+2341), GUCY1B2 (+153909)
SRF.108	DPY19L3 (+5)
SRF.109	TEAD3 (+6831), RPL10A (+21852)
SRF.110	C14orf1 (-223), TTLL5 (-239)
SRF.111	EEF2K (-15284), VWA3A (+98446)
SRF.112	ADARB1 (+80292), POFUT2 (+133004)
SRF.113	CORO1C (+39800), SELPLG (-57825)
SRF.114	B3GNT6 (+13393), CAPN5 (-19164)
SRF.115	CEACAM21 (-62)
SRF.116	KCNMB1 (+191)
SRF.117	NR2F6 (-697)
SRF.118	CAPZB (-166)
SRF.119	ZFP36 (+402)
SRF.120	SST (+53937), RTP4 (+248096)
SRF.121	DHDDS (-34)
SRF.122	RPL34 (-92683), LEF1 (-359461)
SRF.123	BLM (-68610), CRTC3 (+118771)
SRF.124	CLEC6A (+27296), CLEC4D (-30249)
SRF.125	TPM4 (+2500), RAB8A (-32665)
SRF.126	TMEM211 (-123183), CRYBB3 (-137328)
SRF.127	DNAH7 (+283)
SRF.128	CCNB1IP1 (-66)
SRF.129	NQO2 (-10214), SERPINB6 (-17763)
SRF.130	PEX1 (-56627), CDK6 (+248740)
SRF.131	ATP8B2 (+7369), IL6R (-70024)
SRF.132	YIPF5 (-73), KCTD16 (-86)
SRF.133	JUNB (-1530)
SRF.134	ACTA2 (+1100), STAMBPL1 (+71385)
SRF.135	SURF6 (-20)
SRF.136	TPM4 (-191)
SRF.137	RPL24 (-50)
